candidate_id	candidate_label	original_language_label	published_translation_label	grammatical_form	noun_attested	discovery_source_id	discovery_locator	observed_usage_role	first_attestation_count	peer_reviewed_article_attestation_count	independent_scholarly_attestation_count	plain_language_gloss_status	directionality_observation_status	contestation_status	polysemy_status	discovery_agent_id	candidate_registry_version	candidate_registry_sha256	final_decision	decision_reason	all_required_checks_complete
REL-CAND-0001	mediation			NOUN	true	SRC-0001	abstract/p.351	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	UNRESOLVED_MIXED_USAGE	UNCONTESTED_IN_REVIEWED_CORPUS	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-FOUNDATIONAL-GRAPHIC	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Two exact article attestations support a coherent intermediary process.	true
REL-CAND-0002	circulation			NOUN	true	SRC-0003	abstract/p.167	HISTORICAL_PROCESS_USAGE	1	2	2	REVIEWED_NOT_PASSING	UNRESOLVED_MIXED_USAGE	POLYSEMOUS	SPLIT_REQUIRED_DEFER	AGENT-DISC-FOUNDATIONAL-GRAPHIC	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SEMANTIC_AMBIGUITY	Design-element movement and metropolitan circulation are materially different senses.	true
REL-CAND-0003	appropriation			NOUN	true	SRC-0005	title/p.35	HISTORICAL_PROCESS_USAGE	1	2	2	REVIEWED_NOT_PASSING	UNRESOLVED_MIXED_USAGE	POLYSEMOUS	SPLIT_REQUIRED_DEFER	AGENT-DISC-FOUNDATIONAL-GRAPHIC	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	DEFER_SEMANTIC_AMBIGUITY	Selective local incorporation and colonial extraction require separate senses and further evidence.	true
REL-CAND-0004	canonization			NOUN	true	SRC-0007	p.20	HISTORIOGRAPHIC_POSITIONING_USAGE	1	2	2	VALIDATED	DIRECTED_STATUS_CHANGE_OBSERVED	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-FOUNDATIONAL-GRAPHIC	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Two historical studies use the noun for elevation into canonical status.	true
REL-CAND-0005	professionalization			NOUN	true	SRC-0009	abstract/p.1	HISTORICAL_PROCESS_USAGE	1	1	2	VALIDATED	DIRECTED_PROCESS_OBSERVED	HISTORICALLY_SHIFTING	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-FOUNDATIONAL-GRAPHIC	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Article and scholarly chapter support a coherent status-forming process.	true
REL-CAND-0006	institutionalization			NOUN	true	SRC-0011	abstract/p.188	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	DIRECTED_PROCESS_OBSERVED	HISTORICALLY_SHIFTING	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-FOUNDATIONAL-GRAPHIC	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Two articles use the noun for design's embedding in durable organizations.	true
REL-CAND-0007	transnational interactions			NOUN_PHRASE	true	SRC-0011	abstract/p.188	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	UNRESOLVED_MIXED_USAGE	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-FOUNDATIONAL-GRAPHIC	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Independent regional studies attest the exact plural relational phrase.	true
REL-CAND-0008	cultural translation			NOUN_PHRASE	true	SRC-0014	opening/p.273	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	UNRESOLVED_MIXED_USAGE	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-FOUNDATIONAL-GRAPHIC	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Independent historical works use the exact phrase for cross-cultural remaking.	true
REL-CAND-0009	design exchanges			NOUN_PHRASE	true	SRC-0016	abstract/p.1	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	UNRESOLVED_MIXED_USAGE	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-FOUNDATIONAL-GRAPHIC	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Two independent works define and apply the exact phrase, with issue-concentration noted.	true
REL-CAND-0010	commodification			NOUN	true	SRC-0017	title/p.122	HISTORICAL_PROCESS_USAGE	1	2	2	VALIDATED	DIRECTED_TRANSFORMATION_OBSERVED	CONTESTED	NO_PASS_BLOCKING_SPLIT	AGENT-DISC-FOUNDATIONAL-GRAPHIC	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	PASS_TO_GRAMMAR_RESEARCH	Independent articles attest transformation into marketable value.	true
