candidate_id	candidate_label	final_decision	decision_reason	noun_attested	verify_a	verify_b	semantic_result	adversarial_result	candidate_registry_sha256
REL-CAND-0002	circulation	DEFER_SEMANTIC_AMBIGUITY	Design-element movement and metropolitan circulation are materially different senses.	true	PASS	FAIL	SEMANTIC_POLYSEMY_REQUIRES_SPLIT	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0003	appropriation	DEFER_SEMANTIC_AMBIGUITY	Selective local incorporation and colonial extraction require separate senses and further evidence.	true	PASS	FAIL	SEMANTIC_POLYSEMY_REQUIRES_SPLIT	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0013	exclusion	DEFER_SINGLE_ATTESTATION	One exact design-historiographic noun use was verified.	true	PASS	FAIL	SEMANTIC_PASS	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0014	erasure	DEFER_SINGLE_ATTESTATION	One exact graphic-design-historiographic use was verified.	true	PASS	FAIL	SEMANTIC_PASS	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0015	access	DEFER_SINGLE_ATTESTATION	One explicitly relational but generic use was verified.	true	PASS	FAIL	SEMANTIC_AMBIGUOUS_DEFER	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0016	translation	DEFER_SEMANTIC_AMBIGUITY	One exact bare noun use cannot establish a stable cultural rather than literal sense.	true	PASS	FAIL	SEMANTIC_POLYSEMY_REQUIRES_SPLIT	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0017	creative appropriation	DEFER_SINGLE_ATTESTATION	The exact modified phrase occurs in one independent work.	true	PASS	FAIL	SEMANTIC_PASS	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0018	collective process	REJECT_GENERIC_NON_DESIGN_HISTORY_TERM	The phrase is a compositional description, not a stable design-history relation label.	true	PASS	FAIL	SEMANTIC_AMBIGUOUS_DEFER	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0019	relational infrastructure	REJECT_ONE_OFF_METAPHOR	The phrase is an author-specific rhetorical formulation with no independent uptake.	true	PASS	FAIL	SEMANTIC_NON_RELATIONAL_REJECT	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0020	work migrations	DEFER_TRANSLATION	Published English forms are one translation chain and the original Norwegian term was not exposed.	true	PASS	FAIL	SEMANTIC_PASS	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0021	collective production	DEFER_SINGLE_ATTESTATION	One peer-reviewed contextual introduction attests the English phrase; the original term is unverified.	true	PASS	FAIL	SEMANTIC_PASS	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0022	oblikovanje	REJECT_NOT_RELATIONAL	The published Croatian term/gloss names form-giving or design practice rather than a relation.	true	PASS	FAIL	SEMANTIC_NON_RELATIONAL_REJECT	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0027	decolonization	DEFER_SEMANTIC_AMBIGUITY	Disciplinary/practice and historical-political senses require separately attested sense records.	true	PASS	FAIL	SEMANTIC_POLYSEMY_REQUIRES_SPLIT	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0028	power relations	REJECT_GENERIC_NON_DESIGN_HISTORY_TERM	The phrase is relational but remains generic social-science vocabulary rather than a stable design-history construct.	true	PASS	PASS	SEMANTIC_PASS	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0029	cultural transferral	DEFER_SINGLE_ATTESTATION	The exact phrase has one design-history work.	true	PASS	FAIL	SEMANTIC_PASS	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0030	cultural diplomacy	DEFER_SEMANTIC_AMBIGUITY	Two sources attest the phrase but explicitly question its precision and actor boundary.	true	PASS	PASS	SEMANTIC_AMBIGUOUS_DEFER	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
REL-CAND-0031	transnationalism	REJECT_NOT_RELATIONAL	Sources present it as a historiographic framework or field label, not a relation.	true	PASS	FAIL	SEMANTIC_NON_RELATIONAL_REJECT	BLOCK	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5
