candidate_id	sense_id	candidate_label	source_support_ids	observed_argument_pattern	observed_directionality	observed_reversibility	subject_role_description	object_role_description	qualification_markers	negation_behavior	contestation_behavior	temporal_language	common_prepositions_or_syntactic_frames	observed_co_relation_terms	relation_grammar_selected
REL-CAND-0001	REL-CAND-0001#SENSE-A	mediation	ATT-0001;ATT-0002	Mediators connect producers, users, and meanings while changing how those parties encounter one another.	UNRESOLVED_MIXED_USAGE	UNRESOLVED_NOT_RULE	producers or prior meanings	consumers, audiences, or later meanings	may; historically situated; source-bounded	NOT_STUDIED	UNCONTESTED_IN_REVIEWED_CORPUS	historically; over time; in the cited setting	observed in cited contexts; no normalized grammar selected	intermediation; reception	false
REL-CAND-0004	REL-CAND-0004#SENSE-A	canonization	ATT-0007;ATT-0008	Repeated recognition positions selected work inside a canon and leaves alternatives less authoritative.	DIRECTED_STATUS_CHANGE_OBSERVED	UNRESOLVED_NOT_RULE	works, movements, or representations under evaluation	a recognized historical canon	may; historically situated; source-bounded	NOT_STUDIED	CONTESTED	historically; over time; in the cited setting	observed in cited contexts; no normalized grammar selected	canon formation; canon	false
REL-CAND-0005	REL-CAND-0005#SENSE-A	professionalization	ATT-0009;ATT-0010	Institutions and practitioners reposition an activity from informal or amateur practice toward recognized professional work.	DIRECTED_PROCESS_OBSERVED	UNRESOLVED_NOT_RULE	a practice and its practitioners	recognized professional structures	may; historically situated; source-bounded	NOT_STUDIED	HISTORICALLY_SHIFTING	historically; over time; in the cited setting	observed in cited contexts; no normalized grammar selected	institutionalization	false
REL-CAND-0006	REL-CAND-0006#SENSE-A	institutionalization	ATT-0011;ATT-0012	Organizations and rules give design practices durable institutional form.	DIRECTED_PROCESS_OBSERVED	UNRESOLVED_NOT_RULE	design practices or promotion	organizations, councils, standards, or education	may; historically situated; source-bounded	NOT_STUDIED	HISTORICALLY_SHIFTING	historically; over time; in the cited setting	observed in cited contexts; no normalized grammar selected	professionalization	false
REL-CAND-0007	REL-CAND-0007#SENSE-A	transnational interactions	ATT-0013;ATT-0014	Participants and practices meet across borders and may reshape design activity in more than one place.	UNRESOLVED_MIXED_USAGE	UNRESOLVED_NOT_RULE	people, organizations, ideas, or practices	counterparts across national boundaries	may; historically situated; source-bounded	NOT_STUDIED	CONTESTED	historically; over time; in the cited setting	observed in cited contexts; no normalized grammar selected	design exchanges; cultural diplomacy	false
REL-CAND-0008	REL-CAND-0008#SENSE-A	cultural translation	ATT-0015;ATT-0016	A design meaning or practice enters another cultural setting and changes through interpretation there.	UNRESOLVED_MIXED_USAGE	UNRESOLVED_NOT_RULE	a meaning, convention, or practice	a receiving cultural setting and its interpretations	may; historically situated; source-bounded	NOT_STUDIED	CONTESTED	historically; over time; in the cited setting	observed in cited contexts; no normalized grammar selected	translation; transculturation	false
REL-CAND-0009	REL-CAND-0009#SENSE-A	design exchanges	ATT-0017;ATT-0018	Participants, practices, and things meet and affect the design activity under study.	UNRESOLVED_MIXED_USAGE	UNRESOLVED_NOT_RULE	people, practices, or designed things	other participants and practices in an encounter	may; historically situated; source-bounded	NOT_STUDIED	CONTESTED	historically; over time; in the cited setting	observed in cited contexts; no normalized grammar selected	transnational interactions; cultural exchange	false
REL-CAND-0010	REL-CAND-0010#SENSE-A	commodification	ATT-0019;ATT-0020	Commercial and representational systems reposition cultural or natural material as a commodity.	DIRECTED_TRANSFORMATION_OBSERVED	UNRESOLVED_NOT_RULE	cultural, natural, or crafted material	commodity form and market valuation	may; historically situated; source-bounded	NOT_STUDIED	CONTESTED	historically; over time; in the cited setting	observed in cited contexts; no normalized grammar selected	commercialization	false
REL-CAND-0011	REL-CAND-0011#SENSE-A	gendering	ATT-0021;ATT-0022	Institutions and discourse assign gendered value or identity to material, practices, or categories.	DIRECTED_POSITIONING_OBSERVED	UNRESOLVED_NOT_RULE	material, practices, categories, or representations	gendered distinctions and value systems	may; historically situated; source-bounded	NOT_STUDIED	CONTESTED	historically; over time; in the cited setting	observed in cited contexts; no normalized grammar selected	gender attribution; exclusion	false
REL-CAND-0012	REL-CAND-0012#SENSE-A	displacement	ATT-0023;ATT-0024	Something moves or is repositioned so that its setting, form, or status changes.	UNRESOLVED_MIXED_USAGE	UNRESOLVED_NOT_RULE	people, practices, materials, or designed things	a different place, form, boundary, or status	may; historically situated; source-bounded	NOT_STUDIED	POLYSEMOUS	historically; over time; in the cited setting	observed in cited contexts; no normalized grammar selected	circulation; cultural mobility	false
