verification_id	candidate_id	verification_role	reviewer_id	result	reason	candidate_registry_version	candidate_registry_sha256	all_required_checks_complete	final_decision
VER-0001	REL-CAND-0001	DISCOVERY	AGENT-DISC-FOUNDATIONAL-GRAPHIC	DISCOVERY_PASS	Exact source-backed lexical candidate entered before registry freeze.	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	true	PASS_TO_GRAMMAR_RESEARCH
VER-0002	REL-CAND-0001	VERIFY_A	AGENT-VERIFY-A-FOUNDATIONAL	VERIFY_A_PASS	Source A, metadata, locator, exact noun, and design-history context checked.	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	true	PASS_TO_GRAMMAR_RESEARCH
VER-0003	REL-CAND-0001	VERIFY_B	AGENT-VERIFY-B-GLOBAL	VERIFY_B_PASS	Independent exact nominal attestation and compatible design-history use verified.	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	true	PASS_TO_GRAMMAR_RESEARCH
VER-0004	REL-CAND-0001	SEMANTIC_VERIFY	AGENT-SEMANTIC-GENDER-MATERIAL	SEMANTIC_PASS	Two exact article attestations support a coherent intermediary process.	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	true	PASS_TO_GRAMMAR_RESEARCH
VER-0005	REL-CAND-0001	ADVERSARIAL_REVIEW	ROOT-ADVERSARIAL-REVIEWER	ADVERSARIAL_PASS	Two exact article attestations support a coherent intermediary process.	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	true	PASS_TO_GRAMMAR_RESEARCH
VER-0006	REL-CAND-0002	DISCOVERY	AGENT-DISC-FOUNDATIONAL-GRAPHIC	DISCOVERY_PASS	Exact source-backed lexical candidate entered before registry freeze.	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	true	DEFER_SEMANTIC_AMBIGUITY
VER-0007	REL-CAND-0002	VERIFY_A	AGENT-VERIFY-A-FOUNDATIONAL	VERIFY_A_PASS	Source A, metadata, locator, exact noun, and design-history context checked.	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	true	DEFER_SEMANTIC_AMBIGUITY
VER-0008	REL-CAND-0002	VERIFY_B	AGENT-VERIFY-B-GLOBAL	VERIFY_B_FAIL	Independent noun use verified, but materially incompatible sense blocks combined attestation.	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	true	DEFER_SEMANTIC_AMBIGUITY
VER-0009	REL-CAND-0002	SEMANTIC_VERIFY	AGENT-SEMANTIC-GENDER-MATERIAL	SEMANTIC_POLYSEMY_REQUIRES_SPLIT	Design-element movement and metropolitan circulation are materially different senses.	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	true	DEFER_SEMANTIC_AMBIGUITY
VER-0010	REL-CAND-0002	ADVERSARIAL_REVIEW	ROOT-ADVERSARIAL-REVIEWER	ADVERSARIAL_BLOCK	Design-element movement and metropolitan circulation are materially different senses.	trace-design-history-relation-candidates-v1	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	true	DEFER_SEMANTIC_AMBIGUITY
