candidate_id	candidate_label	directionality_observation	evidence_attestation_ids	observed_reversibility	qualification
REL-CAND-0001	mediation	UNRESOLVED_MIXED_USAGE	ATT-0001;ATT-0002	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0002	circulation	UNRESOLVED_MIXED_USAGE	ATT-0003;ATT-0004	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0003	appropriation	UNRESOLVED_MIXED_USAGE	ATT-0005;ATT-0006	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0004	canonization	DIRECTED_STATUS_CHANGE_OBSERVED	ATT-0007;ATT-0008	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0005	professionalization	DIRECTED_PROCESS_OBSERVED	ATT-0009;ATT-0010	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0006	institutionalization	DIRECTED_PROCESS_OBSERVED	ATT-0011;ATT-0012	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0007	transnational interactions	UNRESOLVED_MIXED_USAGE	ATT-0013;ATT-0014	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0008	cultural translation	UNRESOLVED_MIXED_USAGE	ATT-0015;ATT-0016	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0009	design exchanges	UNRESOLVED_MIXED_USAGE	ATT-0017;ATT-0018	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0010	commodification	DIRECTED_TRANSFORMATION_OBSERVED	ATT-0019;ATT-0020	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0011	gendering	DIRECTED_POSITIONING_OBSERVED	ATT-0021;ATT-0022	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0012	displacement	UNRESOLVED_MIXED_USAGE	ATT-0023;ATT-0024	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0013	exclusion	DIRECTED_POSITIONING_OBSERVED	ATT-0025	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0014	erasure	DIRECTED_REMOVAL_OBSERVED	ATT-0026	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0015	access	UNRESOLVED_MIXED_USAGE	ATT-0027	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0016	translation	UNRESOLVED_MIXED_USAGE	ATT-0028	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0017	creative appropriation	DIRECTED_INCORPORATION_OBSERVED	ATT-0029	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0018	collective process	NOT_APPLICABLE	ATT-0030	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0019	relational infrastructure	UNRESOLVED	ATT-0031	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0020	work migrations	RECIPROCAL_MOVEMENT_OBSERVED	ATT-0032;ATT-0033	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0021	collective production	COLLECTIVE_MULTI_PARTY_OBSERVED	ATT-0034	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0022	oblikovanje	NOT_APPLICABLE	ATT-0035	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0023	transculturation	UNRESOLVED_MIXED_USAGE	ATT-0036;ATT-0037	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0024	cultural mobility	UNRESOLVED_MIXED_USAGE	ATT-0038;ATT-0039	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0025	self-exoticization	REFLEXIVE_DIRECTION_OBSERVED	ATT-0040;ATT-0041	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0026	coloniality	STRUCTURAL_ASYMMETRY_OBSERVED	ATT-0042;ATT-0043	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0027	decolonization	UNRESOLVED_MIXED_USAGE	ATT-0044;ATT-0045	UNRESOLVED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0028	power relations	STRUCTURAL_ASYMMETRY_OBSERVED	ATT-0046;ATT-0047	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0029	cultural transferral	DIRECTED_TRANSFER_OBSERVED	ATT-0048	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0030	cultural diplomacy	DIRECTED_STATE_AUDIENCE_FRAME_CONTESTED	ATT-0049;ATT-0050	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0031	transnationalism	NOT_APPLICABLE	ATT-0051	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0032	imitation	DIRECTED_COPYING_OBSERVED	ATT-0052;ATT-0053	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
REL-CAND-0033	piracy	DIRECTED_UNAUTHORIZED_COPYING_OBSERVED	ATT-0054;ATT-0055	NOT_INFERRED	Observation only; Round 9 selects no grammar rule.
