candidate_id	sense_id	candidate_label	plain_language_gloss	natural_language_relation_frame	why_relational	scope_in	scope_out	subject_role_description	object_role_description	descriptive_or_interpretive	confusable_terms	source_support_ids	semantic_verifier_id	second_semantic_check_id	natural_language_test_A	natural_language_test_B	natural_language_test_C	explainability_pass	reviewer_1_comprehension	reviewer_2_comprehension	reviewer_3_comprehension
REL-CAND-0001	REL-CAND-0001#SENSE-A	mediation	In design-history scholarship, mediation is used to describe channels, representations, or designed things that shape connections between production, consumption, and meaning.	Mediators connect producers, users, and meanings while changing how those parties encounter one another.	intermediaries and channels that shape meaning	intermediaries and channels that shape meaning	a claim that every intermediary works identically	producers or prior meanings	consumers, audiences, or later meanings	BOTH	circulation; translation; reception	ATT-0001;ATT-0002	AGENT-SEMANTIC-GENDER-MATERIAL	ROOT-ADVERSARIAL-REVIEWER	In design-history scholarship, mediation is used to describe channels, representations, or designed things that shape connections between production, consumption, and meaning.	How might mediation help frame a design-historical research question?	A future conceptual node could introduce mediation using this source-bounded meaning.	true	YES	YES	YES
REL-CAND-0004	REL-CAND-0004#SENSE-A	canonization	In design-history scholarship, canonization is used to describe the process by which selected work becomes established as historically exemplary or authoritative.	Repeated recognition positions selected work inside a canon and leaves alternatives less authoritative.	historical elevation and normative positioning	historical elevation and normative positioning	the canon as a mere list	works, movements, or representations under evaluation	a recognized historical canon	INTERPRETIVE	canon; professionalization; institutionalization	ATT-0007;ATT-0008	AGENT-SEMANTIC-GENDER-MATERIAL	ROOT-ADVERSARIAL-REVIEWER	In design-history scholarship, canonization is used to describe the process by which selected work becomes established as historically exemplary or authoritative.	How might canonization help frame a design-historical research question?	A future conceptual node could introduce canonization using this source-bounded meaning.	true	YES	YES	YES
REL-CAND-0005	REL-CAND-0005#SENSE-A	professionalization	In design-history scholarship, professionalization is used to describe practices acquiring professional status through education, associations, standards, and recognition.	Institutions and practitioners reposition an activity from informal or amateur practice toward recognized professional work.	status formation through professional structures	status formation through professional structures	a claim that status change is uniform or complete	a practice and its practitioners	recognized professional structures	BOTH	institutionalization; canonization	ATT-0009;ATT-0010	AGENT-SEMANTIC-GENDER-MATERIAL	ROOT-ADVERSARIAL-REVIEWER	In design-history scholarship, professionalization is used to describe practices acquiring professional status through education, associations, standards, and recognition.	How might professionalization help frame a design-historical research question?	A future conceptual node could introduce professionalization using this source-bounded meaning.	true	YES	YES	YES
REL-CAND-0006	REL-CAND-0006#SENSE-A	institutionalization	In design-history scholarship, institutionalization is used to describe design becoming embedded in durable organizations, councils, standards, or educational structures.	Organizations and rules give design practices durable institutional form.	embedding design in organizations and rules	embedding design in organizations and rules	professional identity alone	design practices or promotion	organizations, councils, standards, or education	DESCRIPTIVE	professionalization; canonization	ATT-0011;ATT-0012	AGENT-SEMANTIC-GENDER-MATERIAL	ROOT-ADVERSARIAL-REVIEWER	In design-history scholarship, institutionalization is used to describe design becoming embedded in durable organizations, councils, standards, or educational structures.	How might institutionalization help frame a design-historical research question?	A future conceptual node could introduce institutionalization using this source-bounded meaning.	true	YES	YES	YES
REL-CAND-0007	REL-CAND-0007#SENSE-A	transnational interactions	In design-history scholarship, transnational interactions are used to describe cross-border encounters among people, organizations, ideas, and designed things.	Participants and practices meet across borders and may reshape design activity in more than one place.	historically situated cross-border encounters	historically situated cross-border encounters	borderless sameness or automatic diffusion	people, organizations, ideas, or practices	counterparts across national boundaries	DESCRIPTIVE	design exchanges; cultural translation; circulation	ATT-0013;ATT-0014	AGENT-SEMANTIC-GENDER-MATERIAL	ROOT-ADVERSARIAL-REVIEWER	In design-history scholarship, transnational interactions are used to describe cross-border encounters among people, organizations, ideas, and designed things.	How might transnational interactions help frame a design-historical research question?	A future conceptual node could introduce transnational interactions using this source-bounded meaning.	true	YES	YES	YES
REL-CAND-0008	REL-CAND-0008#SENSE-A	cultural translation	In design-history scholarship, cultural translation is used to describe design meanings or practices being recontextualized and remade across cultural settings.	A design meaning or practice enters another cultural setting and changes through interpretation there.	cross-cultural reinterpretation with change	cross-cultural reinterpretation with change	literal language translation alone	a meaning, convention, or practice	a receiving cultural setting and its interpretations	BOTH	translation; transculturation; cultural mobility	ATT-0015;ATT-0016	AGENT-SEMANTIC-GENDER-MATERIAL	ROOT-ADVERSARIAL-REVIEWER	In design-history scholarship, cultural translation is used to describe design meanings or practices being recontextualized and remade across cultural settings.	How might cultural translation help frame a design-historical research question?	A future conceptual node could introduce cultural translation using this source-bounded meaning.	true	YES	YES	YES
REL-CAND-0009	REL-CAND-0009#SENSE-A	design exchanges	In design-history scholarship, design exchanges are used to describe historically situated encounters among cultural practices, people, and designed things.	Participants, practices, and things meet and affect the design activity under study.	encounters with situated agency	encounters with situated agency	automatic one-way diffusion	people, practices, or designed things	other participants and practices in an encounter	DESCRIPTIVE	transnational interactions; transculturation; cultural translation	ATT-0017;ATT-0018	AGENT-SEMANTIC-GENDER-MATERIAL	ROOT-ADVERSARIAL-REVIEWER	In design-history scholarship, design exchanges are used to describe historically situated encounters among cultural practices, people, and designed things.	How might design exchanges help frame a design-historical research question?	A future conceptual node could introduce design exchanges using this source-bounded meaning.	true	YES	YES	YES
REL-CAND-0010	REL-CAND-0010#SENSE-A	commodification	In design-history scholarship, commodification is used to describe design and institutions turning nature, craft, identity, or cultural material into marketable value.	Commercial and representational systems reposition cultural or natural material as a commodity.	historical transformation into marketable value	historical transformation into marketable value	all exchange or all production	cultural, natural, or crafted material	commodity form and market valuation	BOTH	appropriation; professionalization	ATT-0019;ATT-0020	AGENT-SEMANTIC-GENDER-MATERIAL	ROOT-ADVERSARIAL-REVIEWER	In design-history scholarship, commodification is used to describe design and institutions turning nature, craft, identity, or cultural material into marketable value.	How might commodification help frame a design-historical research question?	A future conceptual node could introduce commodification using this source-bounded meaning.	true	YES	YES	YES
REL-CAND-0011	REL-CAND-0011#SENSE-A	gendering	In design-history scholarship, gendering is used to describe things, practices, or categories being positioned through gendered distinctions and values.	Institutions and discourse assign gendered value or identity to material, practices, or categories.	gendered positioning and valuation	gendered positioning and valuation	biological determination or a fixed binary	material, practices, categories, or representations	gendered distinctions and value systems	INTERPRETIVE	exclusion; canonization	ATT-0021;ATT-0022	AGENT-SEMANTIC-GENDER-MATERIAL	ROOT-ADVERSARIAL-REVIEWER	In design-history scholarship, gendering is used to describe things, practices, or categories being positioned through gendered distinctions and values.	How might gendering help frame a design-historical research question?	A future conceptual node could introduce gendering using this source-bounded meaning.	true	YES	YES	YES
REL-CAND-0012	REL-CAND-0012#SENSE-A	displacement	In design-history scholarship, displacement is used to describe movement or recontextualization across places, boundaries, forms, or social status.	Something moves or is repositioned so that its setting, form, or status changes.	movement and status-changing recontextualization	movement and status-changing recontextualization	movement without contextual change	people, practices, materials, or designed things	a different place, form, boundary, or status	BOTH	circulation; cultural mobility	ATT-0023;ATT-0024	AGENT-SEMANTIC-GENDER-MATERIAL	ROOT-ADVERSARIAL-REVIEWER	In design-history scholarship, displacement is used to describe movement or recontextualization across places, boundaries, forms, or social status.	How might displacement help frame a design-historical research question?	A future conceptual node could introduce displacement using this source-bounded meaning.	true	YES	YES	YES
