stable_id	one_hop_nodes	one_hop_edges	two_hop_nodes	two_hop_edges	capped	interpretation
SURF-VAM20K-01655	17	16	3642	28566	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-01220	16	15	3641	28564	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-02408	15	14	3640	28315	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-00911	16	15	3641	28114	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-01348	15	14	3640	28110	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-01426	15	14	3640	28110	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-01611	15	14	3640	28110	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-01633	15	14	3640	28110	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-02631	16	15	3641	28013	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-01132	16	15	3641	27986	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-02048	14	13	3639	27984	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-02385	15	14	3640	27947	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-01612	15	14	3640	27936	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-01184	14	13	3639	27935	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-00547	16	15	3641	27931	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-02208	14	13	3639	27931	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-00758	17	16	3642	27911	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-02693	16	15	3641	27907	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-00125	14	13	3639	27880	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
SURF-VAM20K-00126	14	13	3639	27880	false	LAYOUT/PERFORMANCE DIAGNOSTIC ONLY; NOT HISTORICAL IMPORTANCE
