dimension	value	public_count	denominator	unknown	unmapped	held_excluded	notes
time_precision	approximate	344	7995	0	0	7928	Diagnostic classification of raw legacy date label; not a v49 normalized temporal assignment.
time_precision	day	66	7995	0	0	7928	Diagnostic classification of raw legacy date label; not a v49 normalized temporal assignment.
time_precision	range	33	7995	0	0	7928	Diagnostic classification of raw legacy date label; not a v49 normalized temporal assignment.
time_precision	year	7552	7995	0	0	7928	Diagnostic classification of raw legacy date label; not a v49 normalized temporal assignment.
date_start_year	1800	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1801	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1802	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1803	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1804	3	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1805	2	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1807	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1809	2	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1813	2	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1815	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1817	2	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1819	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1820	2	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1822	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1823	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1825	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
date_start_year	1826	1	7995	0	0	7928	Analysis-only raw start-year distribution; range/approximate precision remains in time_precision.
