fixture_id	artifact_kind	expected_accepted	python_accepted	expected_failure_code	python_failure_code	expected_canonical_hash	decision_match
CONF-001	FREEZE	true	true			b7d42015862e12fd54bc05a9ed0a53223771fc03954c112e72652c0349fb6f90	true
CONF-002	SEED	true	true			968f06b6a91385cd780da6bf9406ac92aa2790c296ba0641b15a9d74530d210e	true
CONF-003	TREE	true	true			1a3aba27b2ea07b8c5e0072fa05e2ef2f5c718f708ed779629ecc765006066dc	true
CONF-004	INSTANCE	true	true			aac1d701712c047bd5da777d314ce3f5599644f8124e11a4e3088095ea58e231	true
CONF-005	INSTANCE	true	true			4377500a14cdf90767c219971eb23c737548ede2e7aaccef5d42e5086cf83443	true
CONF-006	INSTANCE	true	true			653ab5af7187dac5cc59f4f0ce0a5156457edbc49b2a8a5df305fa2a05844a41	true
CONF-007	INSTANCE	true	true			2384345c5a7113f4b062a79c31a80cfb2aee13b9682f4323b50b89bea7a54ba5	true
CONF-008	INSTANCE	true	true			f7227ca98203ea254c57db50cb323fd05df20f8ea57dd8831d9d0705fac0c802	true
CONF-009	SEED	false	false	UNKNOWN_FIELD	UNKNOWN_FIELD		true
CONF-010	SEED	false	false	DUPLICATE_ID	DUPLICATE_ID		true
CONF-011	TREE	false	false	DANGLING_REFERENCE	DANGLING_REFERENCE		true
CONF-012	INSTANCE	false	false	ARCHIVE_OBJECT_CONTAMINATION	ARCHIVE_OBJECT_CONTAMINATION		true
CONF-013	INSTANCE	false	false	ORIGIN_POLICY_VIOLATION	ORIGIN_POLICY_VIOLATION		true
CONF-014	INSTANCE	false	false	HASH_MISMATCH	HASH_MISMATCH		true
