bad_practice_id	name	description	why_invalid	prohibited_scope	allowed_historical_exception	enforcement_method	status
BP-001	Archive objects exposed	Expose archive objects in Exploration frontend.	Violates the zero-object product boundary.	Frontend and public payloads	Sealed Round 6/7 evidence only	Positive schemas plus active-path guard	ACTIVE
BP-002	Object media as nodes	Use object titles or thumbnails as conceptual nodes.	Confuses records with conceptual relations.	Node and rendering contracts	Sealed Round 6/7 evidence only	Exact-key node validation	ACTIVE
BP-003	Object similarity core	Use object-to-object similarity as Exploration core logic.	Recreates the rejected discovery architecture.	Domain and runtime	Sealed Round 6 evidence only	Legacy-runtime purge plus scanner	ACTIVE
BP-004	Related-work recommendation	Return nearest-neighbor or related-work recommendations.	Changes inspiration into object discovery.	Runtime API and frontend	Sealed Round 6/7 evidence only	Forbidden-reference and route guards	ACTIVE
BP-005	Object affinity score	Rank or score object pairs.	An affinity rename does not change object-centric semantics.	Domain and runtime	Sealed Round 6 evidence only	Forbidden-source scanner	ACTIVE
BP-006	Curated overlap as relation	Interpret raw curated overlap as a design-history relation.	Co-membership is project metadata, not historical evidence.	Research and domain	Historical diagnostic evidence	Policy review and no Context import	ACTIVE
BP-007	Context as semantic evidence	Reuse Context data as Exploration semantic evidence.	Context classifications do not establish historical relations.	Exploration domain and generation	Historical superseded analysis	Static import guard	ACTIVE
BP-008	Spacetime as semantic evidence	Reuse Spacetime data as Exploration semantic evidence.	Recorded place/time does not establish relation meaning.	Exploration domain and generation	Historical superseded analysis	Static import guard	ACTIVE
BP-009	Title embeddings as meaning	Use title embeddings as historical-semantic meaning.	Titles are not governed relation evidence.	Research selection and runtime	Sealed Round 7 evidence	External-model deny policy	ACTIVE
BP-010	Ungoverned subjects	Treat subject labels as independent historical semantics.	Labels require scholarly governance and qualification.	Vocabulary and research	Sealed Round 7 evidence	Unresolved-vocabulary validator	ACTIVE
BP-011	Source narrative as description	Treat provider narrative as object description.	Provider/source prose can describe collections or institutions.	Corpus and semantics	Sealed Round 7 evidence	Object-NLP runtime purge	ACTIVE
BP-012	Generic embedding as research model	Accept a generic pretrained embedding model as a research model.	Generic similarity does not validate the relation construct.	Model governance	Sealed Round 7 evidence	Deny-by-default eligibility gate	ACTIVE
BP-013	Benchmark-popular LLM/SLM	Accept a generic LLM or SLM because it is popular on benchmarks.	Popularity is not construct validity.	Model governance	Bad-practice documentation only	Eligibility gate	ACTIVE
BP-014	Premature vector database	Introduce a vector database before a valid semantic construct exists.	Infrastructure would entrench invalid semantics.	Dependencies and runtime	None	Manifest and source scanner	ACTIVE
BP-015	Object clustering as discovery	Present archive-object clustering as historical discovery.	Statistical grouping is not historical evidence.	Research and rendering	Sealed historical diagnostics	Cluster validator and source scanner	ACTIVE
BP-016	Invalid probability score	Publish a probability-like relation score without a validated probabilistic model.	The number would have no calibrated interpretation.	Data and rendering	Sealed historical diagnostics	Positive schemas	ACTIVE
BP-017	Generated flow as history	Present a generated Flow as documented history.	Composition is not evidence.	Flow data and rendering	None	Flow epistemic validator	ACTIVE
BP-018	Visual proximity as history	Interpret visual proximity as historical proximity.	Layout geometry is not historical evidence.	Topology and rendering	None	TreeMap topology flag	ACTIVE
BP-019	Distance as strength	Interpret screen distance as relation strength.	Screen position is mutable layout state.	Container and rendering	None	Topology/container separation	ACTIVE
BP-020	Image/PNG confusion	Confuse immutable ExplorationImage with a rendered PNG.	Image is a compiled structural definition; PNG is flattened output.	Contracts and terminology	None	Separate positive schemas	ACTIVE
BP-021	Container mutates Image	Let Container edits mutate an immutable Image definition.	Breaks reproducibility and base-image identity.	Runtime state	None	Deep freeze and hash tests	ACTIVE
BP-022	PNG as source of truth	Treat RenderedPng as semantic source of truth.	Flattened pixels cannot reconstruct structured state.	Save/export workflow	None	RenderedPng schema	ACTIVE
BP-023	Invented vocabulary	Invent relation vocabulary without design-history scholarship.	Labels would lack scholarly basis and governance.	Vocabulary and grammar	None	Unresolved policy validator	ACTIVE
BP-024	Model-generated vocabulary	Let an external model produce relation vocabulary without scholarly validation.	Statistical generation is not historiographic governance.	Future research	Bad-practice documentation only	External-model eligibility gate	ACTIVE
BP-025	Generated labels as evidence	Treat generated relation labels as evidence.	Generation cannot create a source or historical fact.	Data and rendering	None	Origin/evidence validation	ACTIVE
BP-026	Concept-to-object recommendations	Offer related objects from a conceptual node.	Violates zero-object exposure and product purpose.	Frontend and routing	None	Route/card/reference guard	ACTIVE
BP-027	Hidden archive identifiers	Store archive identifiers invisibly in conceptual PNG or Container payloads.	Hidden metadata still exposes and couples records.	All artifact schemas	None	Recursive identity validator	ACTIVE
BP-028	Availability-driven fusion	Fuse Context, Spacetime, and object data merely because available.	Availability is not methodological validity.	Architecture and generation	Historical superseded analysis	Import guard and policy review	ACTIVE
BP-029	Affinity rename	Rename similarity as affinity without changing object-centric architecture.	Terminology does not cure the invalid construct.	Architecture and documentation	Sealed Round 6 evidence	Forbidden-reference scanner	ACTIVE
BP-030	Silent claim promotion	Silently promote a human inspiration flow to historical claim.	User composition is not scholarly evidence.	Flow persistence and rendering	None	Flow epistemic validator	ACTIVE
