stable_id	selection_reason	public_boundary	context_assignments	folder_memberships	time_observations	time_precision	place_observations	source_associations	accepted_semantic_edges
SURF-ER1830R001-GROUP	minimal measured local data	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	range	1	1	0
SURF-AICTRACEV47R0001	median context workload	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	year	1	1	0
SURF-AICTRACEV47R0002	P95 context workload	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	year	1	1	0
SURF-LOCTRACE2026R00867	maximum context workload	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	4	5	1	year	1	1	0
SURF-CHWCONTEMP2026V1R0006	P99 folder-membership workload	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	3	4	1	year	1	1	0
SURF-LOCTRACE2026R00895	movement-assignment case	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	4	5	1	year	1	1	0
SURF-CHWCONTEMP2026V1R0016	approximate-date case	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	approximate	1	1	0
SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	range-date case	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	3	5	1	range	1	1	0
SURF-BNDCLDANIELGLEISER2026V2R0005	exact-year case	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	year	1	1	0
SURF-LOCTRACE2026I002CA1C55FA373	broad/unmapped-region stress case	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	year	1	1	0
SURF-BNDCLDANIELGLEISER2026V2R0008	median source-association workload	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	year	1	1	0
SURF-BNDCLDANIELGLEISER2026V2R0015	maximum source-association workload	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	year	1	1	0
SURF-BNDCLDANIELGLEISER2026V2R0020	maximum collection-context workload	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	year	1	1	0
SURF-COMPOUND-HUNTLEY-PALMERS-TRADE-CARDS	zero collection-context case	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	year	1	1	0
SURF-BNDCLTRACE2026V1R0002	creator-missingness case	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	year	1	1	0
SURF-BNDCLDANIELGLEISER2026V2R0021	zero accepted-TRACE relation case	v49 eligible stable ID; no title, URL, evidence, or internal UUID serialized	2	3	1	year	1	1	0
