source_id	path	source_class	authority_scope	sha256_or_identity	usage	caveat
SRC-001	database/FREEZE_V49.json	frozen release receipt	version/count/hash baseline	f0dda59dd515ba243eaf213bce9f42513727f1ab0a44685635921c3759a7d22e	canonical 15923; eligible 7995; held 7928; ambiguous relationshipCount	relationshipCount label reconciled against producer
SRC-002	docs/audits/v49-api-read-contract-closure/raw/fresh-c/fresh-c-verifier.json	frozen replay verifier	physical v49 counts/schema	f7e6129e01f9aa42b149f759824427fa5c8805250cbe15ef485434732dacd3ca	assignment and empty semantic table counts	replay evidence; no live DB mutation
SRC-003	docs/audits/v49-api-read-contract-closure/raw/fresh-c/canonical-sealed-release-final.txt	sealed release receipt	public projection cardinality	sealed objectCount=7995 relationCount=0 folderMembershipCount=0 traceEligibleObjectCount=0	public API boundary	release-specific, not canonical total
SRC-004	docs/statistics/v49-release-data-profile.json	committed statistics	release/public state profile	committed at source SHA	state/type/public counts	pre-existing derived evidence
SRC-005	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	eligibility ledger	public/held object identity	48f98f68ca2ec0cef96c82ecc9c01e4129eb9a3f91e08b07ad9a59644a9d4e01	7995/7928 partition	sole object-level public/held authority for analysis
SRC-006	generated/public_surfaces_prefreeze_candidate_v48.json	canonical migration input	raw candidate fields and pair reconciliation	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	folder pairs/raw candidate coverage	not public publication authority
SRC-007	data/prefreeze_candidate_v48.sqlite	legacy reconciliation database	local density/capacity/source topology	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	immutable read-only diagnostics	LEGACY; not v49 semantic truth
SRC-008	frontend/generated/search-v49/manifest.json	sealed public index manifest	public stable-ID cohort	320dd6ffa0219bdbaf181534dcb27c8d7286b93b9f73a80c4a0f35d458111012	fixture public-ID cross-check	search behavior is protected
SRC-009	database/data-migrations/v48-to-v49/extract.py	migration implementation	assignment lineage	source SHA f9bdfdd	folder set comparison/emission	execution not modified
SRC-010	scripts/repository/build_repository_closure_audit.py	receipt builder	ambiguous metric rename	source SHA f9bdfdd	folderMembershipAssignments to relationshipCount	label requires correction in future release
SRC-011	database/migrations/003_research_rights.sql	schema DDL	research semantic/TRACE tables	schema hash df1e7741e59e5e6bf1ca80f2a33edfad1abb2fc6d95b57d4d6993b49917020dd	actual structure names/capabilities	structure presence does not imply populated data
SRC-012	database/functions/001_deferred_constraints.sql	governance functions	acceptance/evidence rules	schema hash df1e7741e59e5e6bf1ca80f2a33edfad1abb2fc6d95b57d4d6993b49917020dd	future relation/evidence policy	current semantic population empty
SRC-013	database/functions/019_release_projection_snapshot_db_closure.sql	release builder	public TRACE projection gate	schema hash df1e7741e59e5e6bf1ca80f2a33edfad1abb2fc6d95b57d4d6993b49917020dd	empty-only TRACE behavior	nonzero implementation deferred
SRC-014	docs/TRACE_VISUALIZATION_DECISION_v48.md	legacy design record	v48 comparison only	source SHA f9bdfdd	historical candidate concepts/visual grammars	never promoted
SRC-015	frontend/public/data/trace-v48/manifest.json	legacy asset manifest	v48 asset/count verification	1678e211023aa324078e0478f88670d2378b6dc5c398cc5c04722605038fee23	capacity and retained implementation audit	not public v49 truth
SRC-016	frontend/src/lib/read-platform/server/read-api-controller.ts	current runtime	current TRACE route dispatch	source SHA f9bdfdd	runtime baseline/input validation audit	public route not modified
SRC-017	frontend/src/features/search-v49/server/derived-repository.ts	current runtime	sealed v49 provider/source SHA	f9bdfdd293023592ddc6af92858a24857c5a532a	empty TRACE responses/search cohort	protected search implementation not modified
