population	metric	n	min	p25	median	mean	p75	p90	p95	p99	max	zero_count	nonzero_count
public_object	accepted_semantic_relation_count	7995	0	0	0	0	0	0	0	0	0	7995	0
public_object	candidate_held_semantic_relation_count	7995	0	0	0	0	0	0	0	0	0	7995	0
public_object	context_assignment_count	7995	2	2	2	2.014509	2	2	2	3	4	0	7995
public_object	folder_membership_count	7995	3	3	3	3.014634	3	3	3	4	5	0	7995
public_object	medium_assignment_count	7995	1	1	1	1	1	1	1	1	1	0	7995
public_object	theme_assignment_count	7995	1	1	1	1.000125	1	1	1	1	2	0	7995
public_object	movement_assignment_count	7995	0	0	0	0.014384	0	0	0	1	2	7885	110
public_object	place_count	7995	1	1	1	1	1	1	1	1	1	0	7995
public_object	time_count	7995	1	1	1	1	1	1	1	1	1	0	7995
public_object	source_record_count	7995	1	1	1	1	1	1	1	1	1	0	7995
public_object	legacy_source_document_ref_count	7995	1	1	1	1	1	1	1	1	1	0	7995
public_object	evidence_item_count	7995	0	0	0	0	0	0	0	0	0	7995	0
public_object	claim_count	7995	0	0	0	0	0	0	0	0	0	7995	0
public_object	trace_node_count	7995	1	1	1	1	1	1	1	1	1	0	7995
public_object	tree_membership_count	7995	0	0	0	0	0	0	0	0	0	7995	0
public_object	collection_count	7995	0	1	1	0.998124	1	1	1	1	1	15	7980
public_object	creator_count	7995	0	0	1	0.746467	1	1	1	1	1	2027	5968
