candidate_id	source_a	a_locator	a_exact_term	a_context	source_b	b_locator	b_exact_term	b_context	discovery_note
REL-CAND-0001	SRC-0001	abstract/p.351	mediation	this article identifies mediation as a third stream in design history	SRC-0002	p.10	mediation	the recognition of mediation as a useful tool has broadened the horizons of both design and architectural history	Two publications; B explicitly receives A's framework.
REL-CAND-0002	SRC-0003	abstract/p.167	circulation	design can be understood as a circulation process	SRC-0004	title/p.285	circulation	Networks of Circulation and Power in Olympic Mexico	Exact noun; materially different circulation senses possible.
REL-CAND-0003	SRC-0005	title/p.35	appropriation	process of creative appropriation	SRC-0006	abstract/p.35	appropriation	supporting the appropriation and commodification of colonized textiles in Europe	Creative selection and colonial extraction senses may conflict.
REL-CAND-0004	SRC-0007	p.20	canonization	The early European Avant-Garde is perhaps one of the most notable examples of problematic canonization	SRC-0008	abstract/p.245	canonization	the processes that have determined the increasing canonization of the diagram	Second work is adjacent urban/cultural history of a graphic-design object.
REL-CAND-0005	SRC-0009	abstract/p.1	professionalization	processes of professionalization which, from 1870 to 1970, moved the practice and product of interior design beyond its amateur origins	SRC-0010	title/p.393	professionalization	The Professionalization of Interior Design	Second work is a scholarly edited-volume chapter.
REL-CAND-0006	SRC-0011	abstract/p.188	institutionalization	strictly related to the institutionalization of design from the mid-1950s	SRC-0012	title/p.88	institutionalization	Globalization and Design Institutionalization	Keep distinct from professionalization.
REL-CAND-0007	SRC-0011	abstract/p.188	transnational interactions	transnational interactions with western Europe and the USA have affected Latin American graphic design practice	SRC-0013	section heading	transnational interactions	Transnational interactions of people, objects, ideas and movement	Exact plural noun phrase in independent East Asian historiography.
REL-CAND-0008	SRC-0014	opening/p.273	cultural translation	post-colonial studies' interest in cultural translation	SRC-0015	title/p.413	cultural translation	Consumer Modernity as Cultural Translation	Independent East Asian and transatlantic historical uses.
REL-CAND-0009	SRC-0016	abstract/p.1	design exchanges	design exchanges, understood as meetings and encounters of cultural practices, peoples and objects	SRC-0005	title/p.35	design exchanges	Design Exchanges in Mid-Twentieth Century Buenos Aires	Independent authors but one coordinated journal issue.
REL-CAND-0010	SRC-0017	title/p.122	commodification	commodification and gendering of Brazilian tropical nature	SRC-0006	abstract/p.35	commodification	supporting the appropriation and commodification of colonized textiles in Europe	Directional historical process in distinct studies.
REL-CAND-0011	SRC-0017	abstract/p.122	gendering	the gendering of nature and commodity exchange	SRC-0018	abstract/p.121	gendering	these galleries can be linked to the gendering of art forms	Independent feminist/material and institutional history uses.
REL-CAND-0012	SRC-0020	abstract/p.195	displacement	displacement, conceived of as rupture, transition, and traversal of borders, boundaries, and forms	SRC-0021	Defining Displacement section	displacement	This object displacement is based on a fundamental shift of status	Different authors in one coordinated special issue.
REL-CAND-0013	SRC-0022	p.9	exclusion	the exclusion of women in the historiographic methods used by design historians	NONE	NONE	NONE	NONE	One verified design-history work.
REL-CAND-0014	SRC-0023	title/p.241	erasure	the emergence and erasure of new thinking within graphic design criticism	NONE	NONE	NONE	NONE	One verified design-history work.
REL-CAND-0015	SRC-0024	abstract	access	Framing access as a relational rather than corrective practice	NONE	NONE	NONE	NONE	One work and generic noun.
REL-CAND-0016	SRC-0012	abstract/p.88	translation	processes of translation shaped their interactions	NONE	NONE	NONE	NONE	Bare noun risks literal/cultural sense collision.
REL-CAND-0017	SRC-0005	title/p.35	creative appropriation	process of creative appropriation	NONE	NONE	NONE	NONE	Longer noun phrase has one work; bare head has different uses.
REL-CAND-0018	SRC-0022	p.11	collective process	Design, then, is a collective process	NONE	NONE	NONE	NONE	Compositionally generic phrase.
REL-CAND-0019	SRC-0024	Access as intimacy, access as method section	relational infrastructure	intimacy is not a neutral encounter but a relational infrastructure built on recognition, slowness, and care	NONE	NONE	NONE	NONE	Potential author-specific rhetorical phrase.
REL-CAND-0020	SRC-0025	p.77	work migrations	what Ringdal terms work migrations became the norm in this local community	SRC-0026	p.79	work migration	eighty years of work migration between this rural community and the States	Published translation chain, not independent works; original Norwegian term unavailable.
REL-CAND-0021	SRC-0027	opening extract	collective production	a transition to the collective production of the material environment	NONE	NONE	NONE	NONE	Peer-reviewed contextual introduction; original Russian equivalent unverified.
REL-CAND-0022	SRC-0029	opening extract	oblikovanje	oblikovanje (‘form-giving’)	SRC-0030	title/metadata	oblikovanje	Dizajn i okolina	Published Croatian term/gloss; describes design/form-making, not clearly a relation.
REL-CAND-0023	SRC-0031	abstract/p.285	transculturation	a discrete module entitled Transculturation	SRC-0032	p.211	transculturation	a blended methodology is necessary to understand transculturation in design and the ways in which it is socially embedded	Article plus independent peer-reviewed scholarly chapter.
REL-CAND-0024	SRC-0035	title/p.245	cultural mobility	the Cultural Mobility of Tejo Remy's Chest of Drawers	SRC-0036	p.243	cultural mobility	a focus on cultural mobility of goods, artefacts, people and cultural practices	Article plus independent peer-reviewed scholarly chapter.
REL-CAND-0025	SRC-0037	abstract/p.50	self-exoticization	this discourse was manifested as self-exoticization	SRC-0033	accepted manuscript p.6	self-exoticization	Anders V. Munch has coined the term self-exoticization	Explicit coinage plus independent reception/use.
REL-CAND-0026	SRC-0038	abstract/p.1	colonialidade do poder	teorias que elucidam a colonialidade do poder	SRC-0039	p.10	Coloniality	Coloniality and modernity have relied on the idea of transparency	Portuguese original with journal English translation plus independent English design-history use.
REL-CAND-0027	SRC-0040	abstract/p.168	decolonization	the discourse has shifted to first, the decolonization of design	SRC-0041	p.86	decolonization	books as agents of decolonization	Disciplinary/practice and historical-political senses require split review.
REL-CAND-0028	SRC-0042	abstract/p.258	power relations	a project to redraw power relations between Europeans and Africans	SRC-0043	abstract	power relations	the frictions of property and power relations within settler-colonial states	Exact relational phrase but generic social-science vocabulary.
REL-CAND-0029	SRC-0033	abstract/p.158	cultural transferral	an analysis of the cultural transferral of the concept	NONE	NONE	NONE	NONE	One independent work only.
REL-CAND-0030	SRC-0044	pp.117-118	cultural diplomacy	exchanges of soft power or cultural diplomacy	SRC-0045	title/p.225	cultural diplomacy	Cultural Diplomacy and Design in the Late Twentieth and Twenty-First Centuries	Sources explicitly question the term's precision.
REL-CAND-0031	SRC-0046	title/ch.4	transnationalism	Transnationalism for Design History	SRC-0047	title/abstract	Transnational Design History	Transnationalism is presented as historiographic framework/method, not a historical relation.
REL-CAND-0032	SRC-0048	title/p.1	imitation	Imitation and Piracy in Paisley Shawl Design	SRC-0049	title/p.71	imitation	Imitation in Scottish Eighteenth-Century Textiles	Two independent peer-reviewed design-history articles.
REL-CAND-0033	SRC-0048	title/p.1	piracy	Imitation and Piracy in Paisley Shawl Design	SRC-0050	abstract/p.88	piracy	fashion piracy has been practised on an industrial scale for at least a century	Design-history article plus independent peer-reviewed design/legal history article.
