source_id	authors	year	title	venue	publisher	doi_or_identifier	stable_url	language	source_type	peer_reviewed	design_history_usage	source_cluster	source_metadata_verified
COMP-SRC-001	Grace Lees-Maffei	2008	Introduction: Professionalization as a Focus in Interior Design History	Journal of Design History 21.1	Oxford University Press	10.1093/jdh/epn007	https://academic.oup.com/jdh/article/21/1/1/361205	English	ARTICLE	true	true	PROFESSIONALIZATION_INTERIOR_DESIGN	true
COMP-SRC-002	Turid Moldenæs;Hilde Marie Pettersen	2021	The Professional Project of Graphic Designers and Universities' Visual Identities	Journal of Professions and Organization 8.2	Oxford University Press	10.1093/jpo/joab010	https://munin.uit.no/handle/10037/22810	English	ARTICLE	true	true	GRAPHIC_DESIGN_PROFESSIONS	true
COMP-SRC-003	Mike Bresnen	2013	Advancing a New Professionalism: Professionalization, Practice and Institutionalization	Building Research & Information 41.6	Taylor & Francis	10.1080/09613218.2013.843269	https://doi.org/10.1080/09613218.2013.843269	English	COMMENTARY	unknown	false	PROFESSIONS_CHALLENGE	true
COMP-SRC-004	Livia Rezende	2017	Manufacturing the Raw in Design Pageantries: the Commodification and Gendering of Brazilian Tropical Nature	Journal of Design History 30.2	Oxford University Press	10.1093/jdh/epx007	https://researchonline.rca.ac.uk/2773/	English	ARTICLE	true	true	BRAZILIAN_ENVIRONMENTAL_DESIGN_HISTORY	true
COMP-SRC-005	Emma Waight	2019	Mother, Consumer, Trader: Gendering the Commodification of Second-Hand Economies	Journal of Consumer Culture 19.4	SAGE	10.1177/1469540519872069	https://journals.sagepub.com/doi/abs/10.1177/1469540519872069	English	ARTICLE	true	false	CONSUMER_MATERIAL_CULTURE	true
COMP-SRC-006	Gino Cattani;Mariachiara Colucci;Simone Ferriani	2023	From the Margins to the Core of Haute Couture: The Entrepreneurial Journey of Coco Chanel	Enterprise & Society 24.2	Cambridge University Press	10.1017/eso.2021.58	https://www.cambridge.org/core/journals/enterprise-and-society/article/from-the-margins-to-the-core-of-haute-couture-the-entrepreneurial-journey-of-coco-chanel/2EB663E94E9C67F6CB3B9CF962242FAD	English	ARTICLE	true	false	FASHION_PIRACY_HISTORY	true
COMP-SRC-007	Alice Wickens	2025	From Calico to Catwalk: Addressing the UK's Enduring Issue of Fashion Piracy	Journal of Intellectual Property Law & Practice 20.2	Oxford University Press	10.1093/jiplp/jpae107	https://academic.oup.com/jiplp/article/20/2/71/7916754	English	ARTICLE	true	false	FASHION_RIGHTS_HISTORY	true
COMP-SRC-008	Areti T. Vogel;Jacob Vogel;Kittichai Watchravesringkan;Sasikarn Chatvijit Cook;James Beasley;Randall Croom;Dale Peterson;Joshua Finkelstein	2023	Design Piracy: An Interdisciplinary Investigation into Competitive Industrial Behavior	Journal of Business Research 164	Elsevier	10.1016/j.jbusres.2023.113946	https://www.sciencedirect.com/science/article/pii/S0148296323003041	English	ARTICLE	true	false	DESIGN_PIRACY_BEHAVIOR	true
COMP-SRC-009	Grace Lees-Maffei	2009	The Production–Consumption–Mediation Paradigm	Journal of Design History 22.4	Oxford University Press	10.1093/jdh/epp031	https://doi.org/10.1093/jdh/epp031	English	ARTICLE	true	true	PCM_METHODOLOGY	true
COMP-SRC-010	Anna Kallen Talley	2026	Digital Design History: State of the Field, Definitions and Possibilities	Journal of Design History 39.2	Oxford University Press	10.1093/jdh/epag001	https://academic.oup.com/jdh/article/39/2/113/8537083	English	ARTICLE	true	true	PCM_METHODOLOGY	true
