review_unit_id	review_unit_type	subject_id	plain_language_definition	source_ids	evidence_ids	bounded_context	role_structure	directionality	qualification	contestation	current_system_decision	alternative_decisions	reviewer_questions	reviewer_answer_status
REVIEW-NODE-001	BOUNDED_NODE_ROLE	REL-CAND-0004#SENSE-A	In design-history scholarship, canonization is used to describe the process by which selected work becomes established as historically exemplary or authoritative.	GRAM-SRC-003;SRC-0007;SRC-0008	ATT-0007;ATT-0008;GRAM-ATT-003	an identified historiographic corpus and period	subject=a work, movement, representation, or historical narrative selected for canonical status; target=a bounded design-historical canon or canonical status; additional=historians; publishers; exhibitions; educational institutions	DIRECTED	selection mechanisms and exclusions must be stated	CONTESTED; scope_out=general popularity or quality ranking	BOUNDED_NODE_ROLE_CANDIDATE_NOT_ACTIVE	RETAIN;DEFER;SPLIT;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-NODE-002	BOUNDED_NODE_ROLE	REL-CAND-0005#SENSE-A	In design-history scholarship, professionalization is used to describe practices acquiring professional status through education, associations, standards, and recognition.	GRAM-SRC-004;GRAM-SRC-005;GRAM-SRC-007;GRAM-SRC-025;SRC-0009;SRC-0010	ATT-0009;ATT-0010;GRAM-ATT-004;GRAM-ATT-005;GRAM-ATT-008;GRAM-ATT-026	named field, jurisdiction, period, and professional mechanisms	subject=a named design occupation or disciplinary practice seeking professional standing; target=historically contested professional standing in a named field; additional=educators; professional bodies; clients; regulators	DIRECTED	professional standing is historically contested and may exclude	HISTORICALLY_SHIFTING; scope_out=generic improvement, employment, or individual career advancement	BOUNDED_NODE_ROLE_CANDIDATE_NOT_ACTIVE	RETAIN;DEFER;SPLIT;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-NODE-003	BOUNDED_NODE_ROLE	REL-CAND-0006#SENSE-A	In design-history scholarship, institutionalization is used to describe design becoming embedded in durable organizations, councils, standards, or educational structures.	GRAM-SRC-005;GRAM-SRC-006;SRC-0011;SRC-0012	ATT-0011;ATT-0012;GRAM-ATT-006;GRAM-ATT-007	named institution or field and identified carriers	subject=a named design logic, program, practice, or discipline carried by identified agents; target=a specified organization, field, or durable institutional arrangement; additional=educational institutions; professional agents; associations	DIRECTED	institutionalization is degree- and mechanism-specific	HISTORICALLY_SHIFTING; scope_out=mere founding, popularity, or generic organizational presence	BOUNDED_NODE_ROLE_CANDIDATE_NOT_ACTIVE	RETAIN;DEFER;SPLIT;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-NODE-004	BOUNDED_NODE_ROLE	REL-CAND-0010#SENSE-A	In design-history scholarship, commodification is used to describe design and institutions turning nature, craft, identity, or cultural material into marketable value.	GRAM-SRC-013;GRAM-SRC-014;SRC-0006;SRC-0017	ATT-0019;ATT-0020;GRAM-ATT-014;GRAM-ATT-015	named market mechanism and historical setting	subject=a situated image, material, practice, history, or imaginative capacity made exchangeable; target=an exchangeable or market-valued commodity form; additional=producers; market intermediaries; consumers	DIRECTED	what becomes exchangeable and by whose action must be named	CONTESTED; scope_out=all commercialization or consumption; decontextualization or branding without evidenced commodity status	BOUNDED_NODE_ROLE_CANDIDATE_NOT_ACTIVE	RETAIN;DEFER;SPLIT;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-NODE-005	BOUNDED_NODE_ROLE	REL-CAND-0011#SENSE-A	In design-history scholarship, gendering is used to describe things, practices, or categories being positioned through gendered distinctions and values.	GRAM-SRC-015;GRAM-SRC-026;SRC-0017;SRC-0018	ATT-0021;ATT-0022;GRAM-ATT-016;GRAM-ATT-027	named design medium, audience, and gender regime	subject=a design language, object, space, practice, role, or representation under analysis; target=a historically situated gender category, expectation, or subject position; additional=designers; marketers; institutions; audiences	DIRECTED	gender is performed and historically situated, not inherent in form	CONTESTED; scope_out=essentialist claims that objects possess fixed gender	BOUNDED_NODE_ROLE_CANDIDATE_NOT_ACTIVE	RETAIN;DEFER;SPLIT;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-NODE-006	BOUNDED_NODE_ROLE	REL-CAND-0025#SENSE-A	In design-history scholarship, self-exoticization is used to describe design discourse presenting its own national difference through expectations associated with outsiders.	GRAM-SRC-019;SRC-0033;SRC-0037	ATT-0040;ATT-0041;GRAM-ATT-020	named actor, audience, market, and cultural signs	subject=a designer, design community, institution, or national design discourse constructing its own cultural identity; target=that actor's culturally marked self-representation; additional=external expectation, gaze, or anticipated audience	REFLEXIVE	agency, external gaze, and power asymmetry must remain explicit	CONTESTED; scope_out=all use of tradition or any non-Western motif	BOUNDED_NODE_ROLE_CANDIDATE_NOT_ACTIVE	RETAIN;DEFER;SPLIT;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-NODE-007	BOUNDED_NODE_ROLE	REL-CAND-0032#SENSE-A	In design-history scholarship, imitation is used to describe designs or production practices deliberately following existing forms or models.	GRAM-SRC-021;GRAM-SRC-022;GRAM-SRC-028;SRC-0048;SRC-0049	ATT-0052;ATT-0053;GRAM-ATT-022;GRAM-ATT-023;GRAM-ATT-029	named source, imitator, production regime, and period	subject=a maker, manufacturer, or design practice drawing from an identified prior design; target=the prior design, technique, form, or market example being imitated; additional=workshop; market; rights claimant; consumer	DIRECTED	imitation must not be equated automatically with infringement or piracy	HISTORICALLY_SHIFTING; scope_out=all influence, resemblance, appropriation, or inspiration	BOUNDED_NODE_ROLE_CANDIDATE_NOT_ACTIVE	RETAIN;DEFER;SPLIT;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-NODE-008	BOUNDED_NODE_ROLE	REL-CAND-0033#SENSE-A	In design-history scholarship, piracy is used to describe unauthorized copying of designs within historically specific legal, commercial, and moral frameworks.	GRAM-SRC-023;GRAM-SRC-024;GRAM-SRC-027;GRAM-SRC-028;SRC-0048;SRC-0050	ATT-0054;ATT-0055;GRAM-ATT-024;GRAM-ATT-025;GRAM-ATT-028;GRAM-ATT-030	named jurisdiction, period, claimant, and protection regime	subject=an alleged copier, manufacturer, seller, or organized copying practice; target=a source or copied design, or a protected design interest; additional=originator; rights claimant; regulator; court; trade body	DIRECTED	authorization, ownership claim, jurisdiction, legal or market status, ethical framework, and historical standard are mandatory	CONTESTED; scope_out=generic resemblance, imitation, counterfeit, or moral condemnation	BOUNDED_NODE_ROLE_CANDIDATE_NOT_ACTIVE	RETAIN;DEFER;SPLIT;REJECT	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-PAIR-A	PAIR_RESEARCH_QUESTION	PAIR-A	Scholarship supports source-bounded classification, interweaving, and mutual reinforcement, but not a universal professionalization-to-institutionalization transition.	COMP-SRC-001;COMP-SRC-002	COMP-EVID-001;COMP-EVID-002	Interior-design and graphic-design professional histories; institutional field, actors, and period must be explicit.	COMP-EVID-001: subject=interior-design practitioners and professional field; target=formal education, associations, accreditation, and occupational trust/reputation mechanisms; additional=clients;professional organizations;gendered professional subjects | COMP-EVID-002: subject=graphic designers and professional logic; target=university visual-identity field; additional=universities;associations;consultants	NON_DIRECTIONAL_OR_RECIPROCAL_SOURCE_SCOPED	Interior-design and graphic-design professional histories; institutional field, actors, and period must be explicit.	No automatic arrow, transitivity, or cross-profession chronology.	INQUIRY_ONLY_SUPPORTED	PAIR_ACTIVATION_CANDIDATE;INQUIRY_ONLY_SUPPORTED;DEFER_MORE_EVIDENCE;REJECT_COMPOSITION;REJECT_FLATTENING_RISK;REJECT_DIRECTIONALITY_RISK	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
REVIEW-PAIR-B	PAIR_RESEARCH_QUESTION	PAIR-B	One design-history case establishes a common target and an independent consumer-culture source supplies role qualification, but neither establishes a general ordered process relation and no second design-history composition article clears the gate.	COMP-SRC-004;COMP-SRC-005	COMP-EVID-003;COMP-EVID-004	Material, visual, gender, market, and historical regime must all be named.	COMP-EVID-003: subject=gendered discourse and commodity classification processes; target=Brazilian tropical nature and raw materials as common target; additional=imperial exhibitors;European reception;tropicality | COMP-EVID-004: subject=gendering of maternal consumer/trader subject positions; target=commodification of second-hand childhood goods and the economy around them; additional=children;family resources;resale venues	COMMON_TARGET_OR_ROLE_QUALIFICATION_ONLY	Material, visual, gender, market, and historical regime must all be named.	No inference from general feminist economics, title-level co-occurrence, common-target evidence, or role qualification to a directed historical relation.	DEFER_MORE_EVIDENCE	PAIR_ACTIVATION_CANDIDATE;INQUIRY_ONLY_SUPPORTED;DEFER_MORE_EVIDENCE;REJECT_COMPOSITION;REJECT_FLATTENING_RISK;REJECT_DIRECTIONALITY_RISK	Is the meaning faithful to design-history scholarship?;Is the technical role appropriate?;Are subject and target roles historically defensible?;Does the inquiry accidentally imply directionality?;Is the distinction meaningful?;Is an important qualification missing?;Is this a useful research question?;Would it mislead as a historical relation?;Does it act as a universal connector?;Should it remain deferred, be split, or be rejected?	NOT_COMPLETED
