evidence_id	pair_or_gap_id	candidate_sense_ids	source_id	source_type	peer_reviewed	design_history_usage	exact_attested_terms	bounded_context	locator	composition_kind	subject_role	target_role	additional_roles	directionality	qualification	negation	contestation	same_source_cluster	source_metadata_verified	evidence_verified	semantic_review	adversarial_review
COMP-EVID-008	GAP-001	R13-MEDIATION-CHANNELS	COMP-SRC-009	ARTICLE	true	true	mediating channels	The PCM model distinguishes designed channels that connect production and consumption and participate in meaning inscription.	abstract and PCM currents	ROLE_DISTINCTION	producer or institution	consumer or audience	designed channel;object;meaning	SOURCE_CHANNEL_TARGET	channel and mediated variable must be named	none	High universal-connector risk if treated as any conduit.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-009	GAP-001	R13-MEDIATION-CHANNELS	COMP-SRC-010	ARTICLE	true	true	mediating channels	Digital design-history analysis applies the phrase to interfaces and platforms that shape cultural meanings.	Design history and digital material culture section	ROLE_DISTINCTION	platform operator or producer	users and traded cultural objects	mediating channel: interface or platform;algorithms;regulation;third parties	SOURCE_CHANNEL_TARGET	named operator, channel, affected actor/object, and concrete platform effect	none	This application derives from PCM and is not an independent conceptual genealogy.	true	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-010	GAP-001	R13-MEDIATION-DEVICES	COMP-SRC-009	ARTICLE	true	true	mediating devices	Designed goods are identified as devices participating between production and consumption.	abstract and PCM currents	ROLE_DISTINCTION	producer or institution	user or consumer	mediating device: specific designed good;practice;meaning;use	SOURCE_DEVICE_TARGET	specific designed thing and mediated effect required	none	Every designed object cannot default to a mediation Node.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-011	GAP-001	R13-MEDIATION-DEVICES	COMP-SRC-010	ARTICLE	true	true	mediating device	A digital object participates in ongoing production-consumption and third-party data relations.	Digital objects in the PCM paradigm section	ROLE_DISTINCTION	producer or platform operator	user and third-party stakeholders	mediating device: digital artifact;data flows;platform rules;algorithms	MULTIPARTY_DEVICE_MEDIATION	named digital artifact, parties, data relation, and platform rule	none	The second use is explicitly PCM-dependent and does not satisfy independent-source breadth.	true	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-012	GAP-002	R13-SPLIT-001	COMP-SRC-011	ARTICLE	true	true	cultural transfer	A Cold War exhibition tests and criticizes an orthodox donor-to-host transfer model while retaining receiving agency.	abstract; pp.387–408	CONTESTED_TRANSFER	donor institution and selected content	receiving institution, host actors, and audience	exhibition;agenda;route;reception	CONTESTED_ASYMMETRIC_WITH_RECEIVING_AGENCY	named content, route, receiving context, reception, and receiving agency	none	The criticized donor model is not the case finding and cannot erase receiving agency.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-013	GAP-002	R13-SPLIT-001	COMP-SRC-012	BOOK_REVIEW	unknown	false	cultural transfer	Print mobility scholarship uses cultural transfer for movement and circulation across colonial and receiving settings.	title; pp.153–160	TRANSFER	print producers and circulating images	receiving publics and settings	seriality;colonial project;circulation	SOURCE_TO_RECEIVER	early-modern print mobility	none	Transfer does not guarantee unchanged reception.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-014	GAP-002	R13-SPLIT-002	COMP-SRC-013	ARTICLE	true	true	cultural negotiation	Architectural contact zones support reciprocal negotiation, selective borrowing, adaptation, and rejection.	p.354; Contact Zone section	NEGOTIATION	participants in contact	shared architectural problem or form	contact zone;power;borrowing;rejection	MULTIDIRECTIONAL	specific encounter, actors, and power relation	none	Negotiation must not imply voluntary or equal participation.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-015	GAP-002	R13-SPLIT-002	COMP-SRC-014	ARTICLE	true	true	cultural negotiation	A Javanese architectural-design case treats selective adaptation as negotiation and symbolic resistance.	abstract and results	NEGOTIATION	Keraton patrons and Javanese design actors	imported colonial architectural forms and political meanings	colonial institutions;resistance;patronage;power asymmetry	ASYMMETRIC_SELECTIVE_ADAPTATION	Keraton Surakarta case; actual actors and unequal power required	none	Negotiation does not imply voluntary, equal, or fully reciprocal participation.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-016	GAP-002	R13-SPLIT-003	COMP-SRC-015	ARTICLE	true	true	adaptación cultural;cultural adaptation	An illustrated Don Quixote book is analyzed as an adaptation into a named Japanese cultural and graphic context.	author English abstract p.179; Spanish text pp.179–190; version-of-record pagination differs from embedded citation text	ADAPTATION	adapter/illustrator and source work	adapted illustrated book	target cultural context;audience;retained features;modified visual form;commission	SOURCE_TO_ADAPTED_VERSION	source, adapter, changed artifact, changes, and target context required	none	Target culture cannot be treated as essential or uniform.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
COMP-EVID-017	GAP-002	R13-SPLIT-003	COMP-SRC-016	ARTICLE	true	false	cultural adaptation	Web designs are deliberately modified to local industry styles and evaluated with local users.	title; abstract; pp.457–481	ADAPTATION	designers and source interface	adapted local-industry web interface	local audience;local style;trust;usability	SOURCE_TO_ADAPTED_VERSION	source, designer, changed interface, target industry, and local evaluation required	none	Contemporary design research is independent but not design history.	false	true	true	PASS_BOUNDED	PASS_WITH_RECORDED_LIMITS
