row_kind	row_id	field	taxonomy_class	meaning	applicability	is_generic_missing	governance_state	state_counts_json	uncertainty_counts_json	qualifier_counts_json	diagnostic_presence_count	diagnostic_absence_count	missing_count	state_a	state_b	object_count	eligible_denominator	support_rate	interpretation	input_source	derivation_version	signal_status
TAXONOMY	TAXONOMY:AGGREGATE_ONLY		AGGREGATE_ONLY	The governed geography remains countable without a map point.	geography mapping state	false													SUPPORTED_CLASSIFICATION_NOT_A_SINGLE_SCORE	Round 1 explicit missingness taxonomy	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
TAXONOMY	TAXONOMY:APPROXIMATE		APPROXIMATE	The governed temporal observation retains approximate precision.	temporal precision	false													SUPPORTED_CLASSIFICATION_NOT_A_SINGLE_SCORE	Round 1 explicit missingness taxonomy	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
TAXONOMY	TAXONOMY:NOT_GOVERNED		NOT_GOVERNED	A source diagnostic exists but is not a governed public direct feature.	field-level diagnostics only	false													SUPPORTED_CLASSIFICATION_NOT_A_SINGLE_SCORE	Round 1 explicit missingness taxonomy	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
TAXONOMY	TAXONOMY:NO_PUBLISHED_MOVEMENT_CONTEXT		NO_PUBLISHED_MOVEMENT_CONTEXT	No governed movement-context representation is published for the object.	movement_context	false													SUPPORTED_CLASSIFICATION_NOT_A_SINGLE_SCORE	Round 1 explicit missingness taxonomy	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
TAXONOMY	TAXONOMY:OBSERVED		OBSERVED	A governed or explicitly classified value is present.	object field	false													SUPPORTED_CLASSIFICATION_NOT_A_SINGLE_SCORE	Round 1 explicit missingness taxonomy	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
TAXONOMY	TAXONOMY:QUALIFIED		QUALIFIED	A governed value carries an explicit qualification.	geography governance	false													SUPPORTED_CLASSIFICATION_NOT_A_SINGLE_SCORE	Round 1 explicit missingness taxonomy	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
TAXONOMY	TAXONOMY:QUALIFIED_UNKNOWN_SOURCE_VALUE		QUALIFIED_UNKNOWN_SOURCE_VALUE	The public source states unknown with a bounded role qualifier.	creator attribution	false													SUPPORTED_CLASSIFICATION_NOT_A_SINGLE_SCORE	Round 1 explicit missingness taxonomy	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
TAXONOMY	TAXONOMY:RANGE		RANGE	The governed temporal observation is an inclusive range.	temporal precision	false													SUPPORTED_CLASSIFICATION_NOT_A_SINGLE_SCORE	Round 1 explicit missingness taxonomy	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
TAXONOMY	TAXONOMY:UNKNOWN_SOURCE_VALUE		UNKNOWN_SOURCE_VALUE	The public source value explicitly states unknown.	creator attribution	false													SUPPORTED_CLASSIFICATION_NOT_A_SINGLE_SCORE	Round 1 explicit missingness taxonomy	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
TAXONOMY	TAXONOMY:UNMAPPED		UNMAPPED	The governed geography has no selected geometry mapping.	geography mapping state	false													SUPPORTED_CLASSIFICATION_NOT_A_SINGLE_SCORE	Round 1 explicit missingness taxonomy	trace-exploration-missingness-v1	SUPPORTING_SIGNAL
