pair_id	dimension_a	value_a_id	value_a_label	dimension_b	value_b_id	value_b_label	object_count	eligible_denominator	support_rate_eligible	joint_observable_denominator	support_rate_joint_observable	dimension_a_value_object_count	dimension_b_value_object_count	conditional_observed_rate_a_given_b	conditional_observed_rate_b_given_a	lift_diagnostic	lift_reference_denominator	rarity_band	rare_candidate	diagnostic_status	signal_status	input_source	derivation_version
creator__medium	creator	EXP:CREATOR:0002ea8cc09017647fb51197dd8e0964bc7c7e4213dc3e40c524380afbb20188	Maclure, Macdonald & Co.; printers (people)	medium	CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751	Poster	1	7995	0.000125078173859	7995	0.000125078173859	1	7105	0.000140745953554	1	1.12526389866	7995	SINGLETON	false	ANALYSIS_DIAGNOSTIC	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata; governed Context public projection	trace-exploration-cross-dimensional-v1
creator__medium	creator	EXP:CREATOR:0014a6f7932a6b1058e7a625764f396c654a92be6946e526d9026ef92a90ce94	paris province impression; parti communiste français; touffroy, transieve	medium	CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751	Poster	1	7995	0.000125078173859	7995	0.000125078173859	1	7105	0.000140745953554	1	1.12526389866	7995	SINGLETON	false	ANALYSIS_DIAGNOSTIC	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata; governed Context public projection	trace-exploration-cross-dimensional-v1
creator__medium	creator	EXP:CREATOR:003559b39c8f6a7abcce2398eb824a80456e3f8246e1145910f11a58ebab2289	Spatt, Leslie E.; photographers	medium	CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751	Poster	11	7995	0.00137585991245	7995	0.00137585991245	11	7105	0.00154820548909	1	1.12526389866	7995	COUNT_6_TO_20	false	ANALYSIS_DIAGNOSTIC	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata; governed Context public projection	trace-exploration-cross-dimensional-v1
creator__medium	creator	EXP:CREATOR:0051822b78f65fbb816ecabf3b7a3e579760080f40d22147c30faafdfc4247b4	Artist: Jane Hammond (American, born 1950); Printer and publisher: Bill Goldston, Universal Limited Art Editions (Bay Shore, N.Y., founded 1957)	medium	CTX:MEDIUM:05a46f43a6191e7bf5bf3010b49850f524069e03756a4a8737f1118a3bb6fd7b	Publication design	1	7995	0.000125078173859	7995	0.000125078173859	1	234	0.0042735042735	1	34.1666666667	7995	SINGLETON	false	ANALYSIS_DIAGNOSTIC	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata; governed Context public projection	trace-exploration-cross-dimensional-v1
creator__medium	creator	EXP:CREATOR:0065e1f8787d728b9fae4c618cb5c21a334055cdebef7013ab79757af97a2939	greater new york conference on soviet jewry	medium	CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751	Poster	7	7995	0.000875547217011	7995	0.000875547217011	7	7105	0.000985221674877	1	1.12526389866	7995	COUNT_6_TO_20	false	ANALYSIS_DIAGNOSTIC	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata; governed Context public projection	trace-exploration-cross-dimensional-v1
creator__medium	creator	EXP:CREATOR:00673e68a161d469ba9fa20c83af99850c2bd0c6930d5947a16bd90853f5684e	Ukjent; Døves forlag; Sosialdepartementet; Døves trykkeri	medium	CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751	Poster	1	7995	0.000125078173859	7995	0.000125078173859	1	7105	0.000140745953554	1	1.12526389866	7995	SINGLETON	false	ANALYSIS_DIAGNOSTIC	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata; governed Context public projection	trace-exploration-cross-dimensional-v1
creator__medium	creator	EXP:CREATOR:006ae0b092a3c5668612fc6448244e26818e2dbcf9e3206870f1b19c1338ef4f	Sample, Nick; artist	medium	CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751	Poster	1	7995	0.000125078173859	7995	0.000125078173859	1	7105	0.000140745953554	1	1.12526389866	7995	SINGLETON	false	ANALYSIS_DIAGNOSTIC	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata; governed Context public projection	trace-exploration-cross-dimensional-v1
creator__medium	creator	EXP:CREATOR:00a9f2d1574e81afb10e4229c651471e0b100a1d6d6822cbb84f5d13dcc92627	Dangerfield Printing Co. Ltd.; printers (people)	medium	CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751	Poster	5	7995	0.000625390869293	7995	0.000625390869293	5	7105	0.000703729767769	1	1.12526389866	7995	COUNT_2_TO_5	false	ANALYSIS_DIAGNOSTIC	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata; governed Context public projection	trace-exploration-cross-dimensional-v1
creator__medium	creator	EXP:CREATOR:00b11041f3df23bfd5850563df709c47552ad96794f4b0aaf8eda0f6861687e5	grosvenor, thelma cudlipp	medium	CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751	Poster	1	7995	0.000125078173859	7995	0.000125078173859	1	7105	0.000140745953554	1	1.12526389866	7995	SINGLETON	false	ANALYSIS_DIAGNOSTIC	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata; governed Context public projection	trace-exploration-cross-dimensional-v1
creator__medium	creator	EXP:CREATOR:00b4f8299ec20e8bf94d2ece08b1d115e4c64159fe8f4c930a593173ebd96ba9	EM (kunstnersignatur); Gyldendal norsk forlag; Norsk lithografisk Officin	medium	CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751	Poster	1	7995	0.000125078173859	7995	0.000125078173859	1	7105	0.000140745953554	1	1.12526389866	7995	SINGLETON	false	ANALYSIS_DIAGNOSTIC	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata; governed Context public projection	trace-exploration-cross-dimensional-v1
