dimension	value_id	value_label	object_count	eligible_denominator	object_support_rate	observed_object_denominator	dimension_assignment_denominator	assignment_share	rarity_band	derivation_level	signal_status	input_source	derivation_version
creator	EXP:CREATOR:0002ea8cc09017647fb51197dd8e0964bc7c7e4213dc3e40c524380afbb20188	Maclure, Macdonald & Co.; printers (people)	1	7995	0.000125078173859	7995	7995	0.000125078173859	SINGLETON	PUBLIC_METADATA	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata	trace-exploration-cross-dimensional-v1
creator	EXP:CREATOR:0014a6f7932a6b1058e7a625764f396c654a92be6946e526d9026ef92a90ce94	paris province impression; parti communiste français; touffroy, transieve	1	7995	0.000125078173859	7995	7995	0.000125078173859	SINGLETON	PUBLIC_METADATA	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata	trace-exploration-cross-dimensional-v1
creator	EXP:CREATOR:003559b39c8f6a7abcce2398eb824a80456e3f8246e1145910f11a58ebab2289	Spatt, Leslie E.; photographers	11	7995	0.00137585991245	7995	7995	0.00137585991245	COUNT_6_TO_20	PUBLIC_METADATA	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata	trace-exploration-cross-dimensional-v1
creator	EXP:CREATOR:0051822b78f65fbb816ecabf3b7a3e579760080f40d22147c30faafdfc4247b4	Artist: Jane Hammond (American, born 1950); Printer and publisher: Bill Goldston, Universal Limited Art Editions (Bay Shore, N.Y., founded 1957)	1	7995	0.000125078173859	7995	7995	0.000125078173859	SINGLETON	PUBLIC_METADATA	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata	trace-exploration-cross-dimensional-v1
creator	EXP:CREATOR:0065e1f8787d728b9fae4c618cb5c21a334055cdebef7013ab79757af97a2939	greater new york conference on soviet jewry	7	7995	0.000875547217011	7995	7995	0.000875547217011	COUNT_6_TO_20	PUBLIC_METADATA	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata	trace-exploration-cross-dimensional-v1
creator	EXP:CREATOR:00673e68a161d469ba9fa20c83af99850c2bd0c6930d5947a16bd90853f5684e	Ukjent; Døves forlag; Sosialdepartementet; Døves trykkeri	1	7995	0.000125078173859	7995	7995	0.000125078173859	SINGLETON	PUBLIC_METADATA	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata	trace-exploration-cross-dimensional-v1
creator	EXP:CREATOR:006ae0b092a3c5668612fc6448244e26818e2dbcf9e3206870f1b19c1338ef4f	Sample, Nick; artist	1	7995	0.000125078173859	7995	7995	0.000125078173859	SINGLETON	PUBLIC_METADATA	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata	trace-exploration-cross-dimensional-v1
creator	EXP:CREATOR:00a9f2d1574e81afb10e4229c651471e0b100a1d6d6822cbb84f5d13dcc92627	Dangerfield Printing Co. Ltd.; printers (people)	5	7995	0.000625390869293	7995	7995	0.000625390869293	COUNT_2_TO_5	PUBLIC_METADATA	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata	trace-exploration-cross-dimensional-v1
creator	EXP:CREATOR:00b11041f3df23bfd5850563df709c47552ad96794f4b0aaf8eda0f6861687e5	grosvenor, thelma cudlipp	1	7995	0.000125078173859	7995	7995	0.000125078173859	SINGLETON	PUBLIC_METADATA	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata	trace-exploration-cross-dimensional-v1
creator	EXP:CREATOR:00b4f8299ec20e8bf94d2ece08b1d115e4c64159fe8f4c930a593173ebd96ba9	EM (kunstnersignatur); Gyldendal norsk forlag; Norsk lithografisk Officin	1	7995	0.000125078173859	7995	7995	0.000125078173859	SINGLETON	PUBLIC_METADATA	RESEARCH_ONLY_HIGH_CARDINALITY	public Context selected-record metadata	trace-exploration-cross-dimensional-v1
