signal_id	family	signal_name	description	input_source	input_governance_state	direct_or_derived	derivation_level	coverage	cardinality	missing_rate	numerator_definition	denominator_definition	derivation_method	derivation_version	deterministic	explainable	public_safe	held_risk	pairwise_or_object_level	expected_fanout	computational_cost	materialization_risk	historical_relation	semantic_relation	known_failure_modes	status
SIG-CONTEXT-MEDIUM	GOVERNED_CONTEXT	Medium	Governed medium assignments for public objects.	Governed Context public projection	PUBLIC_GOVERNED	DIRECT	LEVEL_A_GOVERNED_DIRECT_FEATURE	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":10,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed medium value.	All authoritative public objects.	Read governed medium representations without inference.	trace-v49-normalized-public-direct-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	BOUNDED_MULTI_VALUE	LOW	LOW	false	false	Broad media can dominate counts.	HIGH_POTENTIAL
SIG-CONTEXT-MEDIUM-THEME	GOVERNED_CONTEXT	Medium-theme intersection	Observed public-object cells across governed medium and theme.	Cross-dimensional aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":40,"denominator":7995,"unit":"observed_positive_cells"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects jointly observable for the selected dimensions.	All authoritative public objects.	Count observed medium-theme memberships only.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	OBSERVED_CELLS_ONLY	LOW	LOW	false	false	Common cells need not be representative or important.	HIGH_POTENTIAL
SIG-CONTEXT-MOVEMENT	GOVERNED_CONTEXT	Movement context	Published movement-context availability and assignments.	Governed Context public projection	PUBLIC_GOVERNED	DIRECT	LEVEL_A_GOVERNED_DIRECT_FEATURE	{"denominator":7995,"numerator":110,"rate":0.013758599124452783,"state":"OBSERVED"}	{"count":7,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"state":"NO_GENERIC_MISSINGNESS; UNPUBLISHED IS NOT MISSING"}	Public objects with at least one observed movement_context value.	All authoritative public objects.	Read governed movement-context representations.	trace-v49-normalized-public-direct-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	SPARSE_BOUNDED_MULTI_VALUE	LOW	LOW	false	false	No published movement context is not generic missingness.	SUPPORTING_SIGNAL
SIG-CONTEXT-SAME-MEDIUM	GOVERNED_CONTEXT	Same-medium overlap	Pairwise structural overlap on at least one governed medium.	Cross-dimensional aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":10,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed medium value.	All authoritative public objects.	Intersect per-object governed medium sets.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	PAIRWISE	POTENTIALLY_HIGH_PAIRWISE	MEDIUM	HIGH	false	false	Shared medium does not establish relation, influence, or quality.	HIGH_POTENTIAL
SIG-CONTEXT-SAME-MOVEMENT	GOVERNED_CONTEXT	Same movement-context overlap	Pairwise overlap among objects with published movement context.	Cross-dimensional aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":110,"rate":0.013758599124452783,"state":"OBSERVED"}	{"count":7,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"state":"NO_GENERIC_MISSINGNESS; UNPUBLISHED IS NOT MISSING"}	Public objects with at least one observed movement_context value.	All authoritative public objects.	Intersect nonempty governed movement-context sets.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	PAIRWISE	SPARSE_PAIRWISE	LOW	MEDIUM	false	false	Sparse publication coverage creates severe selection effects.	RESEARCH_ONLY
SIG-CONTEXT-SAME-THEME	GOVERNED_CONTEXT	Same-theme overlap	Pairwise structural overlap on at least one governed theme.	Cross-dimensional aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":8,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed theme value.	All authoritative public objects.	Intersect per-object governed theme sets.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	PAIRWISE	POTENTIALLY_HIGH_PAIRWISE	MEDIUM	HIGH	false	false	Shared theme can reflect broad cataloguing practice.	HIGH_POTENTIAL
SIG-CONTEXT-THEME	GOVERNED_CONTEXT	Theme	Governed thematic assignments for public objects.	Governed Context public projection	PUBLIC_GOVERNED	DIRECT	LEVEL_A_GOVERNED_DIRECT_FEATURE	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":8,"denominator":7995,"unit":"observed_distinct_values"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with at least one observed theme value.	All authoritative public objects.	Read governed theme representations without inference.	trace-v49-normalized-public-direct-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	OBJECT_LEVEL	BOUNDED_MULTI_VALUE	LOW	LOW	false	false	Themes are curatorial descriptors, not historical causes.	HIGH_POTENTIAL
SIG-CONTEXT-THEME-MOVEMENT	GOVERNED_CONTEXT	Theme-movement intersection	Observed intersections where movement context is published.	Cross-dimensional aggregate analysis	PUBLIC_GOVERNED_DERIVED	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":110,"rate":0.013758599124452783,"state":"OBSERVED"}	{"count":16,"denominator":7995,"unit":"observed_positive_cells"}	{"denominator":7995,"state":"NOT_APPLICABLE_FOR_UNPUBLISHED_MOVEMENT_CONTEXT"}	Public objects jointly observable for the selected dimensions.	All authoritative public objects.	Count observed theme-movement cells without zero-cell expansion.	trace-exploration-round1-aggregate-v1	true	true	true	NONE_PUBLIC_COHORT_ONLY	AGGREGATE_CELL	SPARSE_OBSERVED_CELLS	LOW	LOW	false	false	The small movement-covered cohort is not corpus-wide evidence.	NEEDS_MORE_DATA
SIG-CURATORIAL-AFFINITY	CURATORIAL_STRUCTURE	Curatorial affinity score	Candidate compound score over curatorial diagnostics.	Curatorial aggregate analysis	UNSELECTED_MODEL	DERIVED	LEVEL_C_COMPOUND_EXPLORATORY_SIGNAL	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	{"denominator":7995,"state":"UNSELECTED"}	Not computed because the candidate is unselected.	Authoritative public-object cohort, retained for provenance.	No formula, weights, ranking, or top-k policy selected.	trace-exploration-round1-aggregate-v1	true	true	false	AGGREGATE_ONLY_SEPARATION_REQUIRED	PAIRWISE	UNSELECTED	NOT_EVALUATED	HIGH	false	false	A score could hide broad-container dominance and imply relation.	DEFER
SIG-CURATORIAL-CONTAINER-TYPE	CURATORIAL_STRUCTURE	Curated-container type	Observed type of project-curated container.	Curatorial aggregate analysis	INTERNAL_AGGREGATE_ANALYSIS_ONLY	DERIVED	LEVEL_B_DETERMINISTIC_DERIVED_STATISTIC	{"denominator":7995,"numerator":7995,"rate":1.0,"state":"OBSERVED"}	{"count":4,"denominator":7995,"unit":"observed_curated_container_types"}	{"denominator":7995,"numerator":0,"rate":0.0,"state":"OBSERVED"}	Public objects with a typed curated-container membership.	All authoritative public objects.	Count sanitized observed container types.	trace-exploration-round1-aggregate-v1	true	true	true	AGGREGATE_ONLY_SEPARATION_REQUIRED	OBJECT_LEVEL	BOUNDED_MULTI_VALUE	LOW	LOW	false	false	Underlying raw memberships remain separate from governed Context terms.	SUPPORTING_SIGNAL
