sample_id	case_type	public_object_ids	selection_basis	permitted_diagnostic	candidate_count	eligible_denominator	support_rate	input_source	derivation_version	deterministic	public_safe	held_object_count	historical_relation	semantic_relation	regression_role	status
AGGREGATE_ONLY_GEOGRAPHY	AGGREGATE_ONLY_GEOGRAPHY	SURF-GALYEAR1817V1R0001	Select the first public ID with aggregate-only governed geography.	Aggregate-only mapping state; not geographic absence.	194	7995	0.0242651657286	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
APPROXIMATE_DATE	APPROXIMATE_DATE	SURF-CHWCONTEMP2026V1R0016	Select the first public ID governed with approximate temporal precision.	Approximate-precision state only; not a scalar confidence score.	305	7995	0.0381488430269	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
COMMON_MEDIUM_THEME_INTERSECTION	COMMON_MEDIUM_THEME_INTERSECTION	SURF-BNDCLDANIELGLEISER2026V2R0005	Choose the first maximum-count medium-theme cell, then its first public ID.	Observed cell frequency and support only; common does not imply representative.	3616	7995	0.452282676673	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
CROSS_SOURCE_CONTEXT_MATCH	CROSS_SOURCE_CONTEXT_MATCH	SURF-BNDCLDANIELGLEISER2026V2R0005;SURF-CGS2026R0670	Choose the largest exact medium-theme context group spanning sources, then its first sorted cross-source public-ID pair.	Cross-source governed-context co-occurrence only; not source independence or relation.	3616	7995	0.452282676673	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
DOMINANT_SOURCE	DOMINANT_SOURCE	SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	Choose the first maximum-count source, then its first public ID.	Observed source concentration only; not representativeness.	3505	7995	0.438398999375	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
LONG_TEMPORAL_RANGE	LONG_TEMPORAL_RANGE	SURF-ER1830R001-GROUP	Select the first public ID at the maximum inclusive governed range span.	Recorded temporal-span extremum only; not production duration.	1	7995	0.000125078173859	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
MANY_CURATED_MEMBERSHIPS	MANY_CURATED_MEMBERSHIPS	SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	Select the first public ID among objects at the maximum unique curated-membership count.	Curated membership-count extremum only; not importance or canonicality.	6	7995	0.000750469043152	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
MINIMAL_CURATION	MINIMAL_CURATION	SURF-AICTRACEV47R0001	Select the first public ID among objects at the minimum positive curated-membership count.	Curated membership-count extremum only; not historical absence.	7884	7995	0.986116322702	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
MISSING_CREATOR	MISSING_CREATOR	SURF-BNDCLTRACE2026V1R0002	Select the first public ID with explicit unknown or qualified-unknown creator attribution.	Attribution uncertainty class only; not creator absence from history.	2189	7995	0.273796122577	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
MULTIPLE_MOVEMENT	MULTIPLE_MOVEMENT	SURF-LOCTRACE2026R00867	Select the first public ID at the maximum published movement-context cardinality, requiring at least two.	Multi-movement-context assignment count only; not influence.	5	7995	0.000625390869293	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
MULTIPLE_THEME	MULTIPLE_THEME	SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	Select the first public ID at the maximum governed theme cardinality, requiring at least two.	Multi-theme assignment count only; not greater importance.	1	7995	0.000125078173859	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
MULTI_REGION_RECORD	MULTI_REGION_RECORD	SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	Select the first public ID with more than one governed geography assignment.	Governed multi-region incidence only; not travel or influence.	1	7995	0.000125078173859	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
RARE_MEDIUM_THEME_INTERSECTION	RARE_MEDIUM_THEME_INTERSECTION	SURF-HISTORICALAICTRACE2026V1R0211	Choose the first minimum-positive-count medium-theme cell, then its first public ID.	Observed cell frequency and support only; rare does not imply important.	1	7995	0.000125078173859	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
RARE_SOURCE	RARE_SOURCE	SURF-DCBPLTRACE2026V1R0001	Choose the first minimum-positive-count source, then its first public ID.	Observed source frequency and support only; not source authority.	2	7995	0.000250156347717	governed public analysis cohort	trace-exploration-pathological-selection-v1	true	true	0	false	false	FUTURE_REGRESSION_CORPUS	SELECTED_PATHOLOGICAL_CASE
