field_or_structure	source_form	context_v1_decision	public_surface	context_kind	explanation_or_provenance_role	reason	prohibited_use	spacetime_handoff	exploration_handoff
medium	typed folder assignment	INCLUDE_AS_CONTROLLED_REPRESENTATION	Canvas node and context_representation	medium	Governed medium/format explanation plus safe provenance	Typed identity has complete public coverage and deterministic mapping	Do not interpret as causation, style, or relation between records	NO	NO
theme	typed folder assignment	INCLUDE_AS_CONTROLLED_REPRESENTATION	Canvas node and context_representation	theme	Governed thematic explanation plus safe provenance	Typed identity has complete public coverage and deterministic mapping	Do not infer creator intent or historical relation	NO	NO
movement	typed folder assignment	INCLUDE_AS_CONTROLLED_REPRESENTATION	Canvas node and context_representation	movement_context	Qualified movement wording plus safe provenance	All public assignments support a project-curated research-navigation statement	Do not claim definitive membership, affiliation, influence, contact, causation, chronology, or relation to other records	NO	NO
medium folder membership	source membership row	INCLUDE_AS_EXPLANATION_ONLY	Inspector provenance only		Basis for governed typed mapping	Retains source structure without duplicate graph load	Do not render as a second node or connection	NO	NO
theme folder membership	source membership row	INCLUDE_AS_EXPLANATION_ONLY	Inspector provenance only		Basis for governed typed mapping	Retains source structure without duplicate graph load	Do not render as a second node or connection	NO	NO
movement folder membership	source membership row	INCLUDE_AS_EXPLANATION_ONLY	Inspector provenance only		Basis for governed typed mapping	Retains source structure without implying historical membership	Do not render as a second node or connection	NO	NO
region	typed folder assignment	DEFER_TO_SPACETIME	Absent		Aggregate handoff register only	Geographic parameter governance belongs to Spacetime	Do not create Context geography nodes or normalize place	YES	NO
region	raw source string	DEFER_TO_SPACETIME	Absent		Preserve as source evidence for future geography governance	Raw and typed place can differ and must not be repaired here	Do not normalize or geocode	YES	NO
medium	objects.medium raw text	DEFER_TO_SOURCE/PROVENANCE	Absent		Source/provenance evidence only	Raw values are heterogeneous and do not equal the governed vocabulary	Do not add as a duplicate controlled node	NO	NO
creator	objects.creator	INCLUDE_AS_ROOT_METADATA	Selected-record inspector		Source-reported attribution	Improves orientation without inventing a relation	Do not create creator edges or definitive authorship claims	NO	NO
object type	objects.object_type	INCLUDE_AS_ROOT_METADATA	Selected-record inspector		Source-reported object type	Raw values are descriptive and contain language/case variants	Do not coerce into controlled Context terms	NO	NO
title	objects.title	INCLUDE_AS_ROOT_METADATA	Selected-record root		Public record title	Required selected-record orientation	Do not infer historical claims from title	NO	NO
surface ID	objects.surface_id	INCLUDE_AS_ROOT_METADATA	Selected-record root		Stable public record reference	Required public lookup and traceability	Do not expose internal object identity	NO	NO
date text	objects.date_text	INCLUDE_AS_ROOT_METADATA	Selected-record inspector		Source-reported date	Safe display orientation when presented as source reported	Do not normalize or create chronological Context edges	NO	NO
normalized date range	derived or structured date	DEFER_TO_SPACETIME	Absent		Future time-parameter provenance	Chronological governance belongs to Spacetime	Do not implement time selector or sequence	YES	NO
source name	objects.source_name	INCLUDE_AS_ROOT_METADATA	Selected-record inspector		Source name	Public-safe orientation without source-detail expansion	Do not create source relation nodes	NO	NO
source collection	source collection metadata	DEFER_TO_SOURCE/PROVENANCE	Absent		Future source detail	Not consistently atomic and can contain long source text	Do not create Context collection relation	NO	NO
source IDs and locators	source identifiers or URLs	DEFER_TO_SOURCE/PROVENANCE	Absent		Private/source provenance only	Not required for Context explanation and may expose internals	Do not publish in Context DTO	NO	NO
descriptions notes subjects	source narrative fields	DEFER_TO_SOURCE/PROVENANCE	Absent		Future source evidence	Unstructured source material requires separate governance	Do not mine into Context terms in V1	NO	YES
images and rights	asset and rights fields	EXCLUDE_FROM_CONTEXT_V1	Absent		None	Outside the Context classification question	Do not put asset or rights payload in Context DTO	NO	NO
authority and capture fields	internal classification metadata	DEFER_TO_SOURCE/PROVENANCE	Absent		Internal audit provenance only	Internal implementation structures are not public Context entities	Do not expose internal tokens or authority IDs	NO	NO
trace topology and confidence	trace nodes edges and scores	EXCLUDE_FROM_CONTEXT_V1	Absent		None	No accepted real semantic edges exist and Context is not semantic TRACE	Do not translate candidate confidence into historical relation	NO	YES
semantic relations	accepted relation model	EXCLUDE_FROM_CONTEXT_V1	Absent		None	Context publication is a separate epistemic layer	Do not use TraceSemanticEdge for Context publication	NO	NO
