endpoint_id,template,expected_status,request_count,success_count,cold_ms,min_ms,median_ms,p95_ms,max_ms,response_bytes,returned_records,pagination_size,database_query_count,timeout_count,http_5xx_count,deterministic_digest
"visual-registry-current","/api/v1/visual-registries/current","404","31","31","0.241","0.034","0.048","0.437","0.457","257","0","","0","0","0","2a6e14b0241895ea57e80cb186d8912cfa2344a51f31f3fd0ff148f192dbdd64"
"current-release","/api/v1/releases/{release}","200","31","31","23.204","22.3","22.989","49.768","49.915","388","1","","62","0","0","77b6b489b1025ee5be644e892e5022ae81d0c81590fc08d3218e3b25203818c7"
"release-manifest","/api/v1/releases/{release}/manifest","200","31","31","11.285","10.802","11.393","22.113","22.562","388","1","","31","0","0","77b6b489b1025ee5be644e892e5022ae81d0c81590fc08d3218e3b25203818c7"
"archive-overview","/api/v1/releases/{release}/archive/overview","200","31","31","25.003","23.322","24.194","52.049","54.163","436","1","","62","0","0","8d40c8a9efe177a19107ef11ddc4cda7ae2baf268e8483e11e1bfc6c83cd0f7d"
"folder-types","/api/v1/releases/{release}/folder-types","200","31","31","11.62","10.778","11.179","23.552","24.175","343","0","","31","0","0","a64c33f8fff13beccfd7f0310a0760d359d183e32f6838ba964138f73f985418"
"folders","/api/v1/releases/{release}/folders","200","31","31","11.647","10.81","11.42","26.482","26.619","419","0","0","31","0","0","c200526f9c82ff5a370c57639178cde50d4cc8129699d5c0ce6dfa6e26e8613f"
"folder-members","/api/v1/releases/{release}/folders/{id}/surfaces","404","31","31","11.056","10.694","11.32","24.387","24.722","247","0","","31","0","0","b43cda55ee63b4e3cee6d14a6d7d28a69dd6900676424411f363e3033da9c9e6"
"folder-detail","/api/v1/releases/{release}/folders/{id}","404","31","31","11.123","10.697","11.32","22.425","22.57","254","0","","31","0","0","4caf74d4dd579675389b6bdfdb70a1f2ed790821cd44f4894fc97461d786dbf5"
"surface-detail","/api/v1/releases/{release}/surfaces/{id}","200","31","31","23.336","22.291","23.821","47.642","51.022","725","1","","62","0","0","cdc9a9da6659f386447d3180b6b9e70c6cbe5c61d82a3b41e0e03e10cf1072b3"
"search","/api/v1/releases/{release}/search","200","31","31","29.787","29.787","31.539","68.19","71.294","6943","10","10","62","0","0","5cc57d183efeb00babca5a18c8564ca92b327e80abdf9565aa42a4ce447468e0"
"trace-atlas","/api/v1/releases/{release}/trace/atlas","200","31","31","12.25","10.716","12.25","23.842","25.394","430","1","","31","0","0","ad1f87e0d75831a728b6df774a2d6f8d20b38bb032536f3685f7e0e7ffe9edd5"
"trace-objects","/api/v1/releases/{release}/trace/objects","200","31","31","11.493","10.713","11.466","24.064","25.41","419","0","0","31","0","0","c200526f9c82ff5a370c57639178cde50d4cc8129699d5c0ce6dfa6e26e8613f"
"trace-neighborhood","/api/v1/releases/{release}/trace/objects/{id}/neighborhood","404","31","31","11.497","10.57","11.526","22.156","22.846","281","0","","31","0","0","6b270e0d98613c7f97e8a3813fcaf9b4f9b253d4c84211b305f1b3462f7f9e88"
"relation-types","/api/v1/releases/{release}/trace/relation-types","200","31","31","11.047","10.749","11.279","22.547","23.582","343","0","","31","0","0","a64c33f8fff13beccfd7f0310a0760d359d183e32f6838ba964138f73f985418"
"relation-type","/api/v1/releases/{release}/trace/relation-types/{id}","404","31","31","11.527","10.682","14.768","34.473","98.548","263","0","","31","0","0","1a8e6ec0541624549fce3fa211c7652a70e363f3b8b93b004740a9d86bf1a0ff"
"relation-detail","/api/v1/releases/{release}/relations/{id}","404","31","31","11.35","10.799","12.267","23.085","24.47","247","0","","31","0","0","49e4d476bd9525185869a8b0a9f54cae4ac4f92f57756ea89a3c30943daef2ea"
"claim-detail","/api/v1/releases/{release}/claims/{id}","404","31","31","11.465","10.755","11.251","23.688","24.461","241","0","","31","0","0","90652c890b208c1016291dbe6d87a571e55c60f7bb702d0ff81efc0fea746b5b"
"corpus-detail","/api/v1/releases/{release}/corpora/{version}","404","31","31","11.22","10.665","12.474","23.261","24.293","243","0","","31","0","0","df198e8e9196d8a42113a33a54861f49a4e8088f75075f418e2fc81921846a00"
