tree_key	validation_kind	association_id	result	failure_count
R16-COMP-REGION-01|TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	DIRECT	R14-ASSOC-013	PASS	0
R16-COMP-REGION-01|TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	DIRECT	R14-ASSOC-014	PASS	0
R16-COMP-REGION-01|TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	SKIP_ONE	R14-ASSOC-015	PASS	0
R16-COMP-REGION-01|TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	DIRECT	R14-ASSOC-013	PASS	0
R16-COMP-REGION-01|TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	DIRECT	R14-ASSOC-015	PASS	0
R16-COMP-REGION-01|TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	SKIP_ONE	R14-ASSOC-014	PASS	0
R16-COMP-REGION-01|TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	DIRECT	R14-ASSOC-014	PASS	0
R16-COMP-REGION-01|TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	DIRECT	R14-ASSOC-015	PASS	0
R16-COMP-REGION-01|TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	SKIP_ONE	R14-ASSOC-013	PASS	0
R16-COMP-REGION-02|TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	DIRECT	R14-ASSOC-010	PASS	0
R16-COMP-REGION-02|TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	DIRECT	R14-ASSOC-011	PASS	0
R16-COMP-REGION-02|TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	SKIP_ONE	R14-ASSOC-012	PASS	0
R16-COMP-REGION-02|TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	DIRECT	R14-ASSOC-012	PASS	0
R16-COMP-REGION-02|TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	DIRECT	R14-ASSOC-011	PASS	0
R16-COMP-REGION-02|TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	SKIP_ONE	R14-ASSOC-010	PASS	0
R16-COMP-REGION-02|TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	DIRECT	R14-ASSOC-012	PASS	0
R16-COMP-REGION-02|TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	DIRECT	R14-ASSOC-010	PASS	0
R16-COMP-REGION-02|TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	SKIP_ONE	R14-ASSOC-011	PASS	0
R16-COMP-REGION-03|TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	DIRECT	R14-ASSOC-016	PASS	0
R16-COMP-REGION-03|TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	DIRECT	R14-ASSOC-016	PASS	0
R16-COMP-THEME-01|TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	DIRECT	R14-ASSOC-005	PASS	0
R16-COMP-THEME-01|TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	DIRECT	R14-ASSOC-006	PASS	0
R16-COMP-THEME-01|TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	SKIP_ONE	R14-ASSOC-008	PASS	0
