vocabulary_id	canonical_label	attestation_refs	academic_support_refs	provenance_chain_complete	status
TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	adaptation	"[""R14-EVID-013-01"",""R14-EVID-013-02"",""R14-EVID-014-01""]"	"[""COMP-SRC-013"",""COMP-SRC-014""]"	True	PASS
TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	advertising	"[""R16-SRC-003:attestation:advertising"",""R16-SRC-004:attestation:advertising""]"	"[""R16-SRC-003"",""R16-SRC-004""]"	True	PASS
TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	commodification	"[""R14-EVID-016-01"",""R14-EVID-016-02""]"	"[""COMP-SRC-004"",""COMP-SRC-005""]"	True	PASS
TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	consumer culture	"[""R16-SRC-004:attestation:consumer-culture""]"	"[""R16-SRC-004""]"	True	PASS
TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	consumption	"[""R14-EVID-003-01"",""R14-EVID-003-03"",""R14-EVID-004-01"",""R14-EVID-004-02"",""R14-EVID-004-03""]"	"[""COMP-SRC-009"",""COMP-SRC-010""]"	True	PASS
TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	craft	"[""R14-EVID-020-01""]"	"[""R16-SRC-005""]"	True	PASS
TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	cultural negotiation	"[""COMP-EVID-014"",""COMP-EVID-015""]"	"[""COMP-SRC-013"",""COMP-SRC-014""]"	True	PASS
TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	design diplomacy	"[""R14-EVID-005-01"",""R14-EVID-005-02"",""R14-EVID-006-01"",""R14-EVID-006-02""]"	"[""COMP-SRC-023"",""COMP-SRC-024"",""COMP-SRC-025""]"	True	PASS
TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	design education	"[""R16-SRC-005:attestation:design-education"",""R16-SRC-006:attestation:design-education""]"	"[""COMP-SRC-001"",""COMP-SRC-002"",""R16-SRC-005"",""R16-SRC-006""]"	True	PASS
TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	education	"[""R14-EVID-020-01""]"	"[""R16-SRC-005""]"	True	PASS
TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	exhibition	"[""R14-EVID-005-02"",""R14-EVID-008-01""]"	"[""COMP-SRC-023"",""COMP-SRC-024"",""COMP-SRC-025""]"	True	PASS
TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	gendering	"[""R14-EVID-016-01"",""R14-EVID-016-02""]"	"[""COMP-SRC-004"",""COMP-SRC-005""]"	True	PASS
TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	imitation	"[""R14-EVID-017-01"",""R14-EVID-017-03""]"	"[""COMP-SRC-006"",""COMP-SRC-007"",""COMP-SRC-008""]"	True	PASS
TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	institutionalization	"[""R14-EVID-001-02"",""R14-EVID-021-02""]"	"[""COMP-SRC-001"",""COMP-SRC-002""]"	True	PASS
TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	material displacement	"[""R14-EVID-010-01""]"	"[""COMP-SRC-019"",""COMP-SRC-020""]"	True	PASS
TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	mediation	"[""R14-EVID-002-01"",""R14-EVID-002-03"",""R14-EVID-003-01""]"	"[""COMP-SRC-009"",""COMP-SRC-010""]"	True	PASS
TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	photography	"[""R14-EVID-018-01""]"	"[""R16-SRC-001""]"	True	PASS
TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	piracy	"[""R14-EVID-017-01"",""R14-EVID-017-02"",""R14-EVID-017-03""]"	"[""COMP-SRC-006"",""COMP-SRC-007"",""COMP-SRC-008""]"	True	PASS
