vocabulary_id	canonical_label	attested_form	attestation_count	academic_support_count	archive_object_reference_count	activation_status	status
TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	adaptation	adaptation	3	2	0	ACTIVE_USER_VISIBLE	PASS
TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	advertising	advertising	2	2	5	ACTIVE_USER_VISIBLE	PASS
TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	commodification	commodification	2	2	0	ACTIVE_USER_VISIBLE	PASS
TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	consumer culture	consumer culture	1	1	0	ACTIVE_USER_VISIBLE	PASS
TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	consumption	consumption	5	2	1	ACTIVE_USER_VISIBLE	PASS
TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	craft	craft	1	1	5	ACTIVE_USER_VISIBLE	PASS
TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	cultural negotiation	cultural negotiation	2	2	0	ACTIVE_USER_VISIBLE	PASS
TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	design diplomacy	design diplomacy	4	3	0	ACTIVE_USER_VISIBLE	PASS
TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	design education	design education	2	4	0	ACTIVE_USER_VISIBLE	PASS
TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	education	education	1	1	5	ACTIVE_USER_VISIBLE	PASS
TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	exhibition	exhibition	2	3	5	ACTIVE_USER_VISIBLE	PASS
TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	gendering	gendering	2	2	0	ACTIVE_USER_VISIBLE	PASS
TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	imitation	imitation	2	3	0	ACTIVE_USER_VISIBLE	PASS
TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	institutionalization	institutionalization	2	2	0	ACTIVE_USER_VISIBLE	PASS
TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	material displacement	material displacement	1	2	0	ACTIVE_USER_VISIBLE	PASS
TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	mediation	mediation	3	2	0	ACTIVE_USER_VISIBLE	PASS
TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	photography	photography	1	1	5	ACTIVE_USER_VISIBLE	PASS
TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	piracy	piracy	3	3	0	ACTIVE_USER_VISIBLE	PASS
TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	production	production	5	2	5	ACTIVE_USER_VISIBLE	PASS
TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc	production site	production site	1	1	0	ACTIVE_USER_VISIBLE	PASS
TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b	professionalization	professionalization	1	2	0	ACTIVE_USER_VISIBLE	PASS
TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55	propaganda	propaganda	3	3	5	ACTIVE_USER_VISIBLE	PASS
TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342	rejection	rejection	2	1	0	ACTIVE_USER_VISIBLE	PASS
TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	supply chain	supply chain	1	2	0	ACTIVE_USER_VISIBLE	PASS
TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	trade	trade	2	1	5	ACTIVE_USER_VISIBLE	PASS
TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	typography	typography	1	1	5	ACTIVE_USER_VISIBLE	PASS
