vocabulary_id	canonical_label	academic_source_id	title	stable_url	peer_reviewed	status
TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	adaptation	COMP-SRC-013	Architectural Contact Zones: Another Way to Write Global Histories of the Post-War Period?	https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745	True	PASS
TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	adaptation	COMP-SRC-014	Symbolic and Aesthetic Fusion in Keraton Surakarta: Colonial Influence and Javanese Cultural Resistance through Architectural Design Adaptation	https://doi.org/10.1080/23311983.2025.2482456	True	PASS
TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	advertising	R16-SRC-003	The First Things First Manifesto and the Politics of Culture Jamming: Towards a Cultural Economy of Graphic Design and Advertising	https://doi.org/10.1080/09502380210139124	True	PASS
TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	advertising	R16-SRC-004	The 1968 social uprising and subversive advertising design in Japan: the work of Ishioka Eiko and Suzuki Hachiro	https://doi.org/10.7765/9781526139986.00008	True	PASS
TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	commodification	COMP-SRC-004	Manufacturing the Raw in Design Pageantries: the Commodification and Gendering of Brazilian Tropical Nature	https://researchonline.rca.ac.uk/2773/	True	PASS
TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3	commodification	COMP-SRC-005	Mother, Consumer, Trader: Gendering the Commodification of Second-Hand Economies	https://journals.sagepub.com/doi/abs/10.1177/1469540519872069	True	PASS
TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	consumer culture	R16-SRC-004	The 1968 social uprising and subversive advertising design in Japan: the work of Ishioka Eiko and Suzuki Hachiro	https://doi.org/10.7765/9781526139986.00008	True	PASS
TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	consumption	COMP-SRC-009	The Production–Consumption–Mediation Paradigm	https://doi.org/10.1093/jdh/epp031	True	PASS
TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8	consumption	COMP-SRC-010	Digital Design History: State of the Field, Definitions and Possibilities	https://academic.oup.com/jdh/article/39/2/113/8537083	True	PASS
TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	craft	R16-SRC-005	Insights from Bauhaus innovation for education and workplaces in a post-pandemic world	https://doi.org/10.1007/s10798-022-09729-2	True	PASS
TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	cultural negotiation	COMP-SRC-013	Architectural Contact Zones: Another Way to Write Global Histories of the Post-War Period?	https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745	True	PASS
TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	cultural negotiation	COMP-SRC-014	Symbolic and Aesthetic Fusion in Keraton Surakarta: Colonial Influence and Javanese Cultural Resistance through Architectural Design Adaptation	https://doi.org/10.1080/23311983.2025.2482456	True	PASS
TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	design diplomacy	COMP-SRC-023	Cold War Cultural Transactions: Designing the USSR for the West at Brussels Expo '58	https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1333388	True	PASS
TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	design diplomacy	COMP-SRC-024	Socialist, Humanist and Well-Designed: The Polish Welfare State at the International Labour Exhibition in Turin, 1961	https://www.cambridge.org/core/journals/contemporary-european-history/article/socialist-humanist-and-welldesigned-the-polish-welfare-state-at-the-international-labour-exhibition-in-turin-1961/94D125A40C5B3B013872B9A949430909	True	PASS
TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	design diplomacy	COMP-SRC-025	A Fleeting Glimpse? 'Sweden's Shop Window in Sydney' – the Sweden at David Jones' Exposition of 1954	https://doi.org/10.1080/10331867.2023.2282294	True	PASS
TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	design education	COMP-SRC-001	Introduction: Professionalization as a Focus in Interior Design History	https://academic.oup.com/jdh/article/21/1/1/361205	True	PASS
TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	design education	COMP-SRC-002	The Professional Project of Graphic Designers and Universities' Visual Identities	https://munin.uit.no/handle/10037/22810	True	PASS
TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	design education	R16-SRC-005	Insights from Bauhaus innovation for education and workplaces in a post-pandemic world	https://doi.org/10.1007/s10798-022-09729-2	True	PASS
TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	design education	R16-SRC-006	After the Bauhaus, Before the Internet: A History of Graphic Design Pedagogy	https://doi.org/10.1093/jdh/epac039	True	PASS
TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	education	R16-SRC-005	Insights from Bauhaus innovation for education and workplaces in a post-pandemic world	https://doi.org/10.1007/s10798-022-09729-2	True	PASS
TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	exhibition	COMP-SRC-023	Cold War Cultural Transactions: Designing the USSR for the West at Brussels Expo '58	https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1333388	True	PASS
TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	exhibition	COMP-SRC-024	Socialist, Humanist and Well-Designed: The Polish Welfare State at the International Labour Exhibition in Turin, 1961	https://www.cambridge.org/core/journals/contemporary-european-history/article/socialist-humanist-and-welldesigned-the-polish-welfare-state-at-the-international-labour-exhibition-in-turin-1961/94D125A40C5B3B013872B9A949430909	True	PASS
TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73	exhibition	COMP-SRC-025	A Fleeting Glimpse? 'Sweden's Shop Window in Sydney' – the Sweden at David Jones' Exposition of 1954	https://doi.org/10.1080/10331867.2023.2282294	True	PASS
TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	gendering	COMP-SRC-004	Manufacturing the Raw in Design Pageantries: the Commodification and Gendering of Brazilian Tropical Nature	https://researchonline.rca.ac.uk/2773/	True	PASS
TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170	gendering	COMP-SRC-005	Mother, Consumer, Trader: Gendering the Commodification of Second-Hand Economies	https://journals.sagepub.com/doi/abs/10.1177/1469540519872069	True	PASS
TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	imitation	COMP-SRC-006	From the Margins to the Core of Haute Couture: The Entrepreneurial Journey of Coco Chanel	https://www.cambridge.org/core/journals/enterprise-and-society/article/from-the-margins-to-the-core-of-haute-couture-the-entrepreneurial-journey-of-coco-chanel/2EB663E94E9C67F6CB3B9CF962242FAD	True	PASS
TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	imitation	COMP-SRC-007	From Calico to Catwalk: Addressing the UK's Enduring Issue of Fashion Piracy	https://academic.oup.com/jiplp/article/20/2/71/7916754	True	PASS
TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	imitation	COMP-SRC-008	Design Piracy: An Interdisciplinary Investigation into Competitive Industrial Behavior	https://www.sciencedirect.com/science/article/pii/S0148296323003041	True	PASS
TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	institutionalization	COMP-SRC-001	Introduction: Professionalization as a Focus in Interior Design History	https://academic.oup.com/jdh/article/21/1/1/361205	True	PASS
TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	institutionalization	COMP-SRC-002	The Professional Project of Graphic Designers and Universities' Visual Identities	https://munin.uit.no/handle/10037/22810	True	PASS
TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	material displacement	COMP-SRC-019	Introduction to Material Displacements	https://academic.oup.com/jdh/issue/34/3	True	PASS
TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef	material displacement	COMP-SRC-020	Reciprocal Landscapes: Material Portraits in New York City and Elsewhere	https://www.tandfonline.com/doi/abs/10.1080/18626033.2013.798922	True	PASS
TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	mediation	COMP-SRC-009	The Production–Consumption–Mediation Paradigm	https://doi.org/10.1093/jdh/epp031	True	PASS
TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	mediation	COMP-SRC-010	Digital Design History: State of the Field, Definitions and Possibilities	https://academic.oup.com/jdh/article/39/2/113/8537083	True	PASS
TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	photography	R16-SRC-001	John Heartfield Un/Masked: Montage as Collective Photographic and Social Practice	https://doi.org/10.1080/03087298.2026.2664030	True	PASS
TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	piracy	COMP-SRC-006	From the Margins to the Core of Haute Couture: The Entrepreneurial Journey of Coco Chanel	https://www.cambridge.org/core/journals/enterprise-and-society/article/from-the-margins-to-the-core-of-haute-couture-the-entrepreneurial-journey-of-coco-chanel/2EB663E94E9C67F6CB3B9CF962242FAD	True	PASS
