error_code	schema_version	documented	expected_http_range	status
INVALID_CATEGORY	trace-exploration-api-error-v1	True	4xx_or_503	PASS
CATEGORY_NOT_AVAILABLE	trace-exploration-api-error-v1	True	4xx_or_503	PASS
NO_ELIGIBLE_VOCABULARY	trace-exploration-api-error-v1	True	4xx_or_503	PASS
NO_QUALIFIED_ASSOCIATION	trace-exploration-api-error-v1	True	4xx_or_503	PASS
NO_EXPORTABLE_COMPOSITION	trace-exploration-api-error-v1	True	4xx_or_503	PASS
INVALID_VOCABULARY	trace-exploration-api-error-v1	True	4xx_or_503	PASS
INVALID_ASSOCIATION	trace-exploration-api-error-v1	True	4xx_or_503	PASS
INVALID_ACTION	trace-exploration-api-error-v1	True	4xx_or_503	PASS
ACTION_NOT_AVAILABLE	trace-exploration-api-error-v1	True	4xx_or_503	PASS
STALE_EXPLORATION_STATE	trace-exploration-api-error-v1	True	4xx_or_503	PASS
STATE_NOT_FOUND	trace-exploration-api-error-v1	True	4xx_or_503	PASS
STATE_DATABASE_VERSION_MISMATCH	trace-exploration-api-error-v1	True	4xx_or_503	PASS
PROVENANCE_INCOMPLETE	trace-exploration-api-error-v1	True	4xx_or_503	PASS
ACADEMIC_SUPPORT_INCOMPLETE	trace-exploration-api-error-v1	True	4xx_or_503	PASS
HELD_DATA_BLOCKED	trace-exploration-api-error-v1	True	4xx_or_503	PASS
EXPORT_TOO_LARGE	trace-exploration-api-error-v1	True	4xx_or_503	PASS
EXPORT_RENDER_FAILED	trace-exploration-api-error-v1	True	4xx_or_503	PASS
INVALID_EXPORT_PRESET	trace-exploration-api-error-v1	True	4xx_or_503	PASS
REQUEST_LIMIT_EXCEEDED	trace-exploration-api-error-v1	True	4xx_or_503	PASS
INTERNAL_DATA_INTEGRITY_FAILURE	trace-exploration-api-error-v1	True	4xx_or_503	PASS
