path	bytes	sha256	role
00_EXECUTIVE_RECEIPT.md	5619	d2cc9159f79d1e2703fb7dcb1f12d2d641215246c21cc72a42f5e538122c6e37	executive receipt
01_VALIDATION.md	5058	6ab3bbdad164d592e52cb11e0ce17684843b88832edb18fae7dad6f835b50ad5	validation summary
02_DATA_RECONCILIATION.md	5330	8115959296d32e82dd8ce794cdbae3b3e28d591caa03aef70310dae69f39e0e9	data reconciliation receipt
03_PROTECTED_BOUNDARY_CHECK.md	2681	7c339a1d66bf1e1df0cc5ec10b1663bab58db8f45e5706b689e58d07c0a2a0c6	protected-boundary receipt
04_CHANGED_FILES.md	4014	7e1809712ab55cb986a98a4cadc0a2392d4778cacc649d61b431c22990177faa	changed-file inventory
raw/all-object-failures.tsv	47	9bd18ddc99ab6db0767af29a791a74c0b0b6e472162d0d135467d8bfa58261b9	sanitized failure register
raw/all-object-validation-summary.json	9361	f38e8efc2e40a1dc892d80cfff357d85d196806dd39507f57298ac8a45595269	all-object validation summary
raw/client-bundle-guard.json	269	fa6a08fc925a06fc3545d53f0c387c996df0f1807ceae4a426e29b37c88b5ea1	client source and bundle guard
raw/context-workload-distribution.tsv	47	adf2a594b44f1ccb0d3751f76a073b5458234330451b638b7c2daf22c30b5cf3	Context workload distribution
raw/determinism-checksums.json	2204	52567cb0837e182694fd3cced528f59f8dd099e4935eade0425095d6ab7f930e	determinism checksum receipt
raw/export-validation-summary.json	283	4a0c33d6b9b5ad569ec21c56a30bedf84fbec35d7bf2f5a0fdd07cc67d232ae0	export validation summary
raw/gate-summary.txt	1882	c2d58da087989588447d9f1466d7cd7d7a318dc3ee1df9820bc627f5a4c05ab0	final gate summary
raw/label-shape-distribution.tsv	514	4ccc17c85d0c5bf994a0a2f8f118f4bf1a7cef0bb623b720a4a63060de6a42b8	label shape distribution
raw/layout-validation-summary.json	190	331c4e90eec2a4ce4c44c4a17357bef560c97c825d5b7534835f51fae8a34948	layout validation summary
raw/loader-performance-summary.json	389	7f2e6646e7a46fb287b33d2cb5287bf354b0dcf4a92cc9ea7204a387c6fb625f	loader performance summary
raw/lookup-security-summary.json	221	1299bd493f59a0f99cb3b959cff4e09b70ab0d37a7a04474c7c20d5b521f32eb	lookup security summary
raw/payload-distribution.tsv	229	a224104fea890e0f2d8911df771c165e66b83e8527f14f82c1623cfaa4deaf9f	payload distribution
raw/performance-summary.json	1291	a83650083a1c68be29dff7adee6b751dcc448c670250c77d7f9039b143d1fa80	pure operation performance summary
raw/protected-boundary.txt	1089	181a15a849da2abe7d651f1ba2c5f770117af06dd2d0ddc5ef86ed31be10a604	protected-boundary raw receipt
