relative_path	sha256	byte_count
PROJECT_LOG.md	b804bfb7fa60501c6ffc8c8859d73a07fda8ea44f3ce3c6605eba0e07249c916	20585
docs/audits/v49-exploration-inquiry-flow-round1/00_EXECUTIVE_RECEIPT.md	6b1a553f220d5ea1546bcdddee808d80c1b2dc4a0fe26325801cc182420881d8	524
docs/audits/v49-exploration-inquiry-flow-round1/01_SOURCE_AND_FREEZE_VALIDATION.md	101a4113173d4e8f17db3e32594436a265dda869f527122523a30d302e8cf728	314
docs/audits/v49-exploration-inquiry-flow-round1/02_EVIDENCE_COVERAGE_VALIDATION.md	1effbb35e1ab3d45fc72ffc223aebbe7f3fd60fb4b4c17be380642941bae2236	270
docs/audits/v49-exploration-inquiry-flow-round1/03_LANGUAGE_NEUTRAL_SCHEMA_VALIDATION.md	9660fa63cdb9156f6ec8e4d7190436a12c74cb335215d5d909008da5f62cb4f3	243
docs/audits/v49-exploration-inquiry-flow-round1/04_PYTHON_REFERENCE_ENGINE_VALIDATION.md	a39ae068e06ddca1a3823f6c66167cb56ce1fff02b33f4899744bdafc71deb58	273
docs/audits/v49-exploration-inquiry-flow-round1/05_TYPESCRIPT_ADAPTER_CONFORMANCE.md	1ee70602fc91e9adbaacf17e361f98f0f59e0f19932c82640967c9c9857f6fcc	267
docs/audits/v49-exploration-inquiry-flow-round1/06_FLOW_AND_TREE_VALIDATION.md	337a678e9feaa18ec33da65aaa2680c510715ad446f24da24a90951db0a48508	237
docs/audits/v49-exploration-inquiry-flow-round1/07_INSTANCE_VALIDATION.md	688399f9827cf3720f7513fc865c454e047d7143f200da14cd2e13f7df383184	273
docs/audits/v49-exploration-inquiry-flow-round1/08_RUNTIME_SCHEMA_HARDENING.md	3c9a498537353c10eaf706f588487cd35ed0a69c02e8521c5fc22d78a68188b5	297
docs/audits/v49-exploration-inquiry-flow-round1/09_ZERO_OBJECT_AND_MODEL_BOUNDARY.md	10b6bf1adf467ba6f0a2f1bb64646afea4f63b08ae4c2561a889e2a9e6fc9065	232
docs/audits/v49-exploration-inquiry-flow-round1/10_PROTECTED_SYSTEMS.md	32b3dd73d797270679050af368917654069f12779b9e28c5d0b64686851f8d4a	190
docs/audits/v49-exploration-inquiry-flow-round1/11_CHANGED_FILES.md	c5a8482a703eb01ce9a2f0b1090b19f08314c22ca699dbe4684f49f0c9dc8029	1855
docs/audits/v49-exploration-inquiry-flow-round1/raw/coverage-reconciliation.json	ae601be36aeab404cfb80003406d2a25102a6e7cadbf4e1577a0383d9ab8688b	832
docs/audits/v49-exploration-inquiry-flow-round1/raw/cross-runtime-fixtures.json	e6e811c5f58da7a6f2d3d44a955c581ffccc46f17b4f271e1e4c45d172f7c88c	159
docs/audits/v49-exploration-inquiry-flow-round1/raw/freeze-replay.json	9b87d34cd0b5d4caf34f958e69f765f9a4fcf681b379ffab7d9b2967d29a6181	236
docs/audits/v49-exploration-inquiry-flow-round1/raw/reference-engine.json	a6a8479d575e4af095380d715534fa05dedd5d40ac74633d89d9c28e3d436261	481
docs/audits/v49-exploration-inquiry-flow-round1/raw/test-results.tsv	6f76a0f899369bc49bd489adea598433126d4ead3397d4abaf2bc9fe03b5474e	2902
docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.csv	ff1e02c152f14033ad36cd36b80104d2b277e2c75c1efac0e86116fe4f051fa7	30852
docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.json	2301010edfa783c24d1604037053c6840c327b1afc61820350e7df1f129239fa	84436
docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.md	1d3787634b38c426a5040ec58d770209f926b37fd0acaa61bbbca22a204340a7	1312
docs/research/EXPLORATION_CURRENT.md	d09b56b284938c8da0db5d15e6438b0df58845f508cbdd886b9e3f33df5e8c8e	6739
docs/research/trace-v49-exploration-inquiry-flow-round1/00_EXECUTIVE_DECISION.md	795a95f03ba4b456de68861c2ebebb5ccdec9da4096bdf207df54c630e507408	910
docs/research/trace-v49-exploration-inquiry-flow-round1/01_SCOPE_AND_METHOD.md	816a2cdbfccddde3a3b8691c573ef1c56bfd126ee160f3018a691565046260e2	911
docs/research/trace-v49-exploration-inquiry-flow-round1/02_RESEARCH_CANDIDATE_FREEZE.json	a17b0e97aeaf6c7c11d35d7b225bf7c64b696820f4d077a9d887d7c7e0df9b42	21380
docs/research/trace-v49-exploration-inquiry-flow-round1/03_EVIDENCE_COVERAGE_SUMMARY.tsv	6a766b5ffa34bdfb4b5292219de8aa07faf0ead3e2a2041ccb1c1da2840c41b9	533
docs/research/trace-v49-exploration-inquiry-flow-round1/04_NODE_EVIDENCE_COVERAGE.tsv	2ed53a405ec3352b1ab8ad2e2590dc8b37b04bd97d08ec9627ff191f737fbde5	4253
docs/research/trace-v49-exploration-inquiry-flow-round1/05_PAIR_QUESTION_EVIDENCE_COVERAGE.tsv	0d3bb19335f0d82c85956e92d19432e6955bc8a12acb5c71f9c304d9870a1454	1568
docs/research/trace-v49-exploration-inquiry-flow-round1/06_NODE_TO_INSTANCE_COVERAGE.tsv	a966fa47f70f64903ee27513c08f50c9f792e631ab62ac208b5de21109d34b91	1978
docs/research/trace-v49-exploration-inquiry-flow-round1/07_INSTANCE_EVIDENCE_COVERAGE.tsv	f387f5f98d96b57aa4b691d235bedc891d2dcca98ad65af99df589e0c02cb19a	1139
docs/research/trace-v49-exploration-inquiry-flow-round1/08_INQUIRY_SEED_REGISTRY.tsv	e95ead62d4d34e6b9af9f2137066d71b36174c3482dab7e38647f78857e14394	2763
docs/research/trace-v49-exploration-inquiry-flow-round1/09_TREE_STRATEGY_REGISTRY.tsv	adbdb9577a634952d111d773dcd5fde0e118479922b7190e9506f1711da075e8	836
docs/research/trace-v49-exploration-inquiry-flow-round1/10_INQUIRY_OPERATION_REGISTRY.tsv	67ad1391274253b4eeae9c0bdff8d33f60f604768f31f9a99644059f41a05afb	810
docs/research/trace-v49-exploration-inquiry-flow-round1/11_RESEARCH_INSTANCE_REGISTRY.tsv	9285600b88b19952f06570adf7ad5048f39d08c619c0559937be3c3fad074230	869
docs/research/trace-v49-exploration-inquiry-flow-round1/12_RESEARCH_INSTANCES/INQUIRY-INSTANCE-001.json	4da2d2274cd0b2315f695c147b3b95ba4c043b95b4c7125bd4ec3ddb7324dd61	7487
docs/research/trace-v49-exploration-inquiry-flow-round1/12_RESEARCH_INSTANCES/INQUIRY-INSTANCE-002.json	e15bc19f0edd2acadbebc0235264f3c87e97f9002088b04f97f6fd3ce448125e	7188
docs/research/trace-v49-exploration-inquiry-flow-round1/12_RESEARCH_INSTANCES/INQUIRY-INSTANCE-003.json	1feafea56bcc232976cce7b56445ed2aa98abf77f562024239d24e32e847a107	7618
docs/research/trace-v49-exploration-inquiry-flow-round1/12_RESEARCH_INSTANCES/INQUIRY-INSTANCE-004.json	da8f16545ffacd806c881c5da561f3cf4b3f0c29f430e7bb7826931ad9358dfc	5167
docs/research/trace-v49-exploration-inquiry-flow-round1/12_RESEARCH_INSTANCES/INQUIRY-INSTANCE-005.json	06d6f10801759744557d862371e9b183466d909707b932a0934e8d731e22f9e3	5255
docs/research/trace-v49-exploration-inquiry-flow-round1/13_CROSS_RUNTIME_CONFORMANCE.tsv	59f05720ceed19a910e29bb254b544eeee9d5ea0095fec99875caa4405f24e13	1360
docs/research/trace-v49-exploration-inquiry-flow-round1/14_RUNTIME_SCHEMA_HARDENING.md	ff785a27426e70a8a564459a003f01ad6d917f17d9a37e07f2bfd77dc3fc3732	889
docs/research/trace-v49-exploration-inquiry-flow-round1/15_RESEARCH_PREVIEW_REVIEW_PACKET.tsv	ef5958c88e049f284b0f8728e3d1b953ba00daec1f2b314a7fe520a468a2c7cd	2416
docs/research/trace-v49-exploration-inquiry-flow-round1/16_LIMITATIONS_AND_ACTIVATION_BOUNDARY.md	06bcba9e8481466f6ea529b4dcaa3960c1afa5d17ce3ec5ec21abd2b1f050f01	578
docs/research/trace-v49-exploration-inquiry-flow-round1/17_ROUND_DECISION.md	ace94450243dea25cebd7b15def848f60ca416ac68b734dfa9f946a5206bd076	511
docs/research/trace-v49-exploration-inquiry-flow-round1/coverage-summary.json	991ebada5068c46c1956e4b2b8b13057aecf4d1bd3f7baddfff15009454b2bd0	812
frontend/package.json	2638f49d2ffab14677e003357c06639af5cd5548c33c15ea718bb952d2bddb04	3805
frontend/scripts/fixtures/exploration-constraint-kernel-synthetic-fixtures.ts	df8c716ac196a23cd2ae51acdf1d90a77d2d02c1079a1f9b8692b7593255f86a	10708
frontend/scripts/test-exploration-inquiry-adapter.mjs	5afed487453b305132bc4a8baa8fe9654723ba696c9246c1105e5612bb346d27	5472
