group_id	classification_unit	overall_disposition	rights_evidence_status	provider_policy_status	provider_mapping_status	legacy_image_state	legacy_rights_state	legacy_display_policy	rights_reviewed	has_image_frame	secondary_image_count	locator_roles	locator_hosts	locator_schemes	credit_present	license_label_present	rights_label_present	surface_count	visual_locator_occurrence_count	malformed_locator_occurrence_count	positive_rights_evidence_surface_count	member_surface_id_set_sha256	member_locator_occurrence_hash_set_sha256	representative_surface_ids	reason_codes	candidate_sha256	authority_role	recovery_reference
LVG-03bf75d7634b8111	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_visible_image_frame	false	true	0	image.url	framemark.vam.ac.uk	https	true	true	true	3142	3142	0	0	6b441a0968c9e8094688c1adddc53d4b9da74b8026cc9f5bd4f80e1a64ec1a7c	e836c8c2dad7cae29423149903330814137a3a5a4fead5f0a98e88e9b58971f3	SURF-VAM20K-00001|SURF-VAM20K-00002|SURF-VAM20K-00003	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-04958ea2a9a0ecc4	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	digital.library.temple.edu	https	true	true	true	1	1	0	0	d4b7ea3bda1b98a2eb2655c47b294de649af471bf0ce6d0a911a1cc13a0d6e03	c33310fd5ee94c4a9fd7ea08a383fa1089007f30015ff1b073bba5f4c0b6822b	SURF-SBC1970R0036	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-052d7e22f5433f5a	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	open_image_frame	false	true	0	image.url	iiif.micr.io	https	true	true	true	1	1	0	0	d43f5e09b3ee5c9ccdd411742fcc4da14f4901366ce23020cb250ba97d37f793	f478eb673bd319036d22c82e2fcc038877bea6177739fe25ea688394f70f1bf4	SURF-YRGAP-REGION-0009	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-06f81819d0716a76	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG03	open_candidate	open_image_frame	true	true	0	image.url	digitalcollections.lib.washington.edu	https	true	true	true	1	1	0	0	0a34b9cd7428fbeabd273e3f86a55394c58dc373a83a7ba8f2e04de9747c278c	18b998e9dffadd8ecdf7bf9dfd6aed918101016d3c923cd8d38fc394aa1d9526	SURF-SBC1970R0026	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-0806156d9d735e84	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG03	open_candidate	open_image_frame	true	true	0	image.url	kura.aucklandlibraries.govt.nz	https	true	true	true	7	7	0	0	8ca76c1df872e90fd9d6bcbd2f7e42a98966f60dcbd671ee12c3895d798143a0	5bc449e79c9020db424142fb87f49868b47cfe1d72825bb8d82610354762af9a	SURF-DNZPOSTR008|SURF-DNZPOSTR056|SURF-SBC1970R0002	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-094fbf32a34bbbfb	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG03	open_candidate	open_image_frame	true	true	0	image.url	www.artic.edu	https	true	true	true	34	34	0	0	b104e17d196111dce34e885011c362f97c5687c34b2ea1cebbbe5996bebde4ab	0e4436274214013d12a9efed5af26e72b876a7ea2b2018d27fbfc13d49fa2581	SURF-ER1830R043|SURF-ER1830R044|SURF-ER1830R045	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-0e3d5189c0beb206	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG03	open_candidate	open_image_frame	true	true	0	image.url	iiif.micr.io	https	true	true	true	16	16	0	0	5dd2152284603b768c66d5d7c0416bd80b3e87041c6064e46e441f051fb21298	ec97c6d9308b501ea5c4c89a765c2c8f30755fb9a62b9d732d82d4bf1e7453c8	SURF-YRGAP-REGION-0001|SURF-YRGAP-REGION-0002|SURF-YRGAP-REGION-0003	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-1bea928871df6598	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	gallica.bnf.fr	https	true	true	true	23	23	0	0	1566af61244a9d9d1480d37d2290222708ef7e79ac8b23c1d86a6870ce395bce	00338f5dabb110682892e038f2546116e068a49415586c47197a595e10965c73	SURF-GA1970R016|SURF-GA1970R018|SURF-GA1970R023	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-1ef98fae0a7977a9	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	tile.loc.gov	https	true	true	true	2303	2303	0	0	0994e795204ba0ad6846737f5c14e1ee16ee9c702e1efc2f86e083baac979ce3	e46f3b1abc32d6a6e57527fef3bb5946f25eb166dbda8b6a5be78db7a78aedfd	SURF-LOCTRACE2026I00061EA7FCBC81|SURF-LOCTRACE2026I002CA1C55FA373|SURF-LOCTRACE2026I00557A7DBA6DE7	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-1fbc6cd76a8a7883	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	letterformarchive.org	https	true	true	true	8	8	0	0	e7ffce1f1223d068707b74be986082ba91fb90b4297be4c0ed188cb6e189c9aa	5145031558152aa85692dc6f7efa1f10542030fd19f30f519a6d51b601a04881	SURF-EW1970R028|SURF-EW1970R029|SURF-EW1970R030	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
LVG-23b043a58232ead8	candidate_surface_visual_bundle	RIGHTS_UNKNOWN	RIGHTS_UNKNOWN	POLICY_UNKNOWN	UNMAPPED_PROVIDER	IMG02	source_viewer_candidate	source_viewer_frame	false	true	0	image.url	www.saha.org.za	https	true	true	true	3	3	0	0	bb38956b6249ff9fbeb0be4de1ad831e30cc54250265f2047bffe4e01529ee19	5c6f2ced6ca2384f8bdb7e126ed88a0ebc06a62525567789933d8920c3ccc7bd	SURF-NXS2026R004|SURF-NXS2026R005|SURF-NXS2026R007	LEGACY_RIGHTS_LABEL_IS_CANDIDATE_OR_UNREVIEWED|NO_POSITIVE_REMOTE_DISPLAY_PROOF|NO_STABLE_PROVIDER_FK_IN_CANDIDATE|NO_VERSIONED_PROVIDER_POLICY_IN_CANDIDATE	b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48	canonical_migration_input_lexical_bytes	0404c7f96f9189f576c4c5b1368061e4082e436b
