selection_rank	source_ordinal	archive_object_id	source_record_id	research_disposition	tier_class	visual_present	folder_count	folder_quantile	literal_count	literal_quantile	rights_state	source_sha256	source_bucket	selection_priority_sha256
1	3497	e25cdf20-669b-5453-98ec-0b8d1db84d45	f332a79a-733a-5354-a570-ea6455e878e0	eligible	source_verified	true	3	4	226	3	source_viewer_candidate	a8e60ead06dd30adb0e988b8d5809afe5c86d183e94227a497d00914e7030e8a	6	0003fbe9739d052c3e9f1c9c0289057f2c73589b82777d8614a6dca2d09369a1
2	4868	2b66ff6b-7a54-5f55-8560-f585802b7f89	520df9b6-07eb-5bb8-a526-b03303300c0b	held	missing	true	3	4	218	2	open_candidate	ce13526429def2a8da1f86b30897b84df96759926fdf083ce4ec5fd430dff2c5	3	000068e72819e5cc1a4e8cbeabe756ab3238b024d29e531898a560d4ba14d4ca
3	10265	cf2f8831-ef13-5768-87a5-d58d3f24331e	0378a340-74b0-5c6d-9727-918ac136f005	held	metadata_supported	true	3	4	226	3	source_viewer_candidate	f5281f1e38e33476d97862fba7b62ec146da28257fc88e62e86de6379f65cebf	0	000e91bd7ca3963322edf9dcca95ab57ed1e54b00f90802f51986e55656d47b3
4	4325	934f6e65-cdb7-5836-8c01-a8d3ad6ed31f	99442788-6ac9-58a6-9f99-40215a3afa0f	held	metadata_supported	false	3	4	231	4	rights_review_required	3a184875d2c874dd4aee0b7438fee6f2555dab63754d5cdf12b52e527f35de9f	0	02f695a6f6278921d952929e46292aba61f04e13d845406255b38e16b17fa14d
5	11077	69389dfe-5069-5a48-b3e1-39a508c89c2b	9ec57aa3-c8d8-5de5-b396-7e7ae7298920	eligible	source_verified	true	3	4	214	0	source_viewer_candidate	436a336f9d82eff6e82d10cb6535c14ef535149378be9e921ff731e3a3246e0e	2	001e9f4d6b8aa59595458ff115fbfa56882bac9b0b7ee1b9aa231495609a422f
6	15651	ab3596ec-f608-5222-81e2-6176826bfb8e	6d9e6d18-b510-56b6-bc4f-4d4da9d6d8ec	eligible	source_verified	true	3	4	216	1	source_viewer_candidate	afb9f5afa500f5cb97a845d53ed8adf94fda2e02a1a4aa6c9aad16cbc56c5f77	1	0007109ba43ce28a777b149e3b9452f2701bec0fe7f6ea3af8b7ebe507f8b577
7	14201	7edc1219-1ee7-5f47-abd1-4ee213c1a624	90126990-df11-5d03-8d0b-10da13ea1537	held	metadata_supported	true	3	4	247	4	open_candidate	e67758697408c16f4017f6334674139c7e4a494edb5ac8f9f54a1c69fa2aec05	7	00205ff1d09022b8c2063394bc6538cd476e0bc7380695daa282e1bd3267ab48
8	518	00c1f4e7-d0cd-549d-bbf6-7532c67c8d07	f8427c60-f246-514a-98e7-64311630cd2f	eligible	source_verified	false	5	4	239	4	compound_member_rights	436a336f9d82eff6e82d10cb6535c14ef535149378be9e921ff731e3a3246e0e	2	4fd8906e9fc78c72d917d8564ec4a57d44b0757652dff5066947c15045815190
9	4954	6aee3cb4-c349-5260-a2fe-592b646c72e9	56bb4f2f-e824-50fb-b729-871c8446ef75	held	metadata_supported	false	3	4	242	4	source_link_only	b1f1b3f5a7ab62246f5507b11f9703efae2b7bd57d6d9a5e2e332f275db798b3	1	6cf3d782da15eebf3c338bd14336f82f0f5ff0b7ab415a8f095ed5b209ef4d1f
10	3752	b2677d9a-5d76-5ba6-ac26-5bae09f6a054	bc300e06-1780-570b-b486-7e38cfa3ada0	eligible	source_verified	true	3	4	231	4	thumbnail_candidate	e712d1697775f728053fd9234295603b3c0993ad13a391b40ce55e87db1f141d	2	008a7cb006989178bbc61bf237ba415a58b3399583619df975d59f2d203de0b1
11	4816	259be066-cdf8-5802-86a7-a8d031c7c6fa	98bcb7f0-5c2c-5dc5-a4e6-5a227bc53646	held	missing	true	3	4	220	2	open_candidate	18d4ad8ddccc9819038cbcee8a6962dc643f644d50cd858fd2d16b29568ce4da	4	00073d5224c37e2d2a56653eb382be33236bdd002e1d7c16c9ddb896767935db
12	4221	afede6d4-428e-5020-95b5-c7413e3e8030	a892b218-ada9-5732-be5c-0b27b04038fd	eligible	source_verified	true	3	4	226	3	source_viewer_candidate	884d0bba04f878989279721c4cbc99d2a6cfa510ff2e5466f6f75b4cc6ef287f	5	001a94c0fc118a95ae1d6db05e6e5d98209e05aa6aadfc79b15c6586cbec7dcc
13	2737	7f9fa18f-df96-519a-8649-57044367f9e0	7045928d-f3eb-53dd-9cf0-865318229ba0	eligible	source_verified	true	3	4	565	4	source_viewer_candidate	436a336f9d82eff6e82d10cb6535c14ef535149378be9e921ff731e3a3246e0e	2	ae6a27fe6f069f1687e7d330d71ad2ca39e3adbcdbbfa760cab32ba86e460ada
14	4993	e87fbc9f-1fa7-5a3a-953a-adee6ac4dce3	fc04fcbb-27a4-5547-97aa-bd94757627a1	held	metadata_supported	true	3	4	266	4	open_candidate	ce13526429def2a8da1f86b30897b84df96759926fdf083ce4ec5fd430dff2c5	3	59c51aa4b89a457bfd5e5eaf13187b3db7e541eb9a17a01d73e2c093b9a9acfc
15	7721	7a23c14a-9817-50de-9e92-56258b9f8eb7	daa9de6a-f805-5f6c-b4c8-f2ddd53f744f	held	metadata_supported	true	3	4	261	4	open_candidate	ce13526429def2a8da1f86b30897b84df96759926fdf083ce4ec5fd430dff2c5	3	18ddeece2ac124b3dc68bfc9de1c400f8c6a34ac91b5d06086cfb25fa8208842
16	7725	0c1b168a-127e-532d-9ede-c04840d72696	52142683-6b2a-5579-985a-2ade1bc1325e	held	metadata_supported	true	3	4	261	4	open_candidate	ce13526429def2a8da1f86b30897b84df96759926fdf083ce4ec5fd430dff2c5	3	290fcd518d4e63760b9ca26c62c3413efee5fa26ab1da6ca624f891606592ecf
17	3541	cbd3679c-45be-562a-a9a7-1b93ab13a0ba	72f895ac-644b-58c7-832b-cb7dc97b8578	held	metadata_supported	true	3	4	261	4	open_candidate	9d568141ebd970b17e95a29ab8ae7c467d17d2153e9db23c5309674c88ff6c8e	6	390b79945fc82619dfc04dd32379f3fdc356ef8410d136eb6ad41999952bb4d9
18	7476	09396a6e-957c-52ae-86c6-59825c8f2076	1d515a75-1244-5577-bf5c-622ee7be3e49	held	metadata_supported	true	3	4	261	4	open_candidate	ce13526429def2a8da1f86b30897b84df96759926fdf083ce4ec5fd430dff2c5	3	393e0215be5637e6b2a743f1be3d57affd7749e9c0bdc4cc7b45ed9417c7bf75
